rank_name,rec_id,listing,effective_from,party_iso2,is_current,populations_iso2,EXCLUDEDpopulations_iso,is_inclusion,included_in_RecID,RankforInclusions,excluded_rec_ids,short_note_en,short_note_es,short_note_fr,full_note_en,SpeciesIndexAnnotation,HistoryAnnotation,hash_note,Notes
GENUS,2720,II/r,31/10/1976,GB,0,,,0,,,,On behalf of HK.,En nombre de HK.,Au nom de HK.,On behalf of Hong Kong.,,,,
GENUS,2720,II,04/02/1977,,1,,,1,801,FAMILY,,Included in Testudinidae spp.,Incluida en Testudinidae spp.,Inscrit sous Testudinidae spp.,,,,,
GENUS,2720,II/w,03/07/1978,GB,0,,,0,,,,On behalf of HK.,En nombre de HK.,Au nom de HK.,On behalf of Hong Kong.,,,,
GENUS,2739,II,16/02/1995,,0,,,0,,,,,,,,,,,
GENUS,2739,II,19/07/2000,,1,,,0,,,,"A zero annual export quota has been established for <i>Manis crassicaudata, Manis culionensis, Manis javanica</i> and <i>Manis pentadactyla</i> for specimens removed from the wild and traded for primarily commercial purposes.","Se ha establecido un cupo anual de exportación nulo para los especímenes de <i>Manis crassicaudata, Manis culionensis, Manis javanica</i> y <i>Manis pentadactyla</i> recolectados en el medio silvestre y comercializados con fines primordialmente comerciales.","Un quota d'exportation annuel zéro a été établi pour <i>Manis crassicaudata, Manis culionensis, Manis javanica</i> et <i>Manis pentadactyla</i> pour les spécimens prélevés dans la nature pour des transactions principalement comerciales.","Included in Appendix II. A zero annual export quota has been established for Manis crassicaudata, M. culionensis, M. javanica and M. pentadactyla for specimens removed from the wild and traded for primarily commercial purposes.",23,,,
GENUS,2742,II,19/07/2000,,1,,,0,,,,,,,,,,,
GENUS,2852,II/r,01/08/1985,AT,0,,,0,,,,,,,,,,,
GENUS,2852,II,01/08/1985,,0,,,0,,,,,,,,,,,
GENUS,2852,II/w,06/01/1989,AT,0,,,0,,,,,,,,,,,
GENUS,2852,II,18/01/1990,,1,,,1,137,ORDER,,Included in SCLERACTINIA spp.,Incluida en SCLERACTINIA spp.,Inscrit sous SCLERACTINIA spp.,,,,,
GENUS,2965,I,01/07/1975,,1,,,0,,,,,,,,,,,
GENUS,2996,II,28/06/1979,,0,,,0,,,,Except Himalayan population of <i>M. moschiferus</i>,Excepto la población del Himalaya,Sauf la population de l'Himalaya,,,,,
GENUS,2996,II/r,28/06/1979,DK,0,,,0,,,,,,,,,,,
GENUS,2996,II/w,01/01/1980,DK,0,,,0,,,,,,,,,,,
