rank_name,rec_id,listing,effective_from,party_iso2,is_current,populations_iso2,EXCLUDEDpopulations_iso,is_inclusion,included_in_RecID,RankforInclusions,excluded_rec_ids,short_note_en,short_note_es,short_note_fr,full_note_en,SpeciesIndexAnnotation,HistoryAnnotation,hash_note,Notes
FAMILY,778,II,18/01/1990,,1,,,0,,,,Excludes fossils.,Excluye los fósiles.,Fossiles exclus.,,,,,
FAMILY,792,I,01/07/1975,,1,,,0,,,,Except <i>Tapirus terrestris</i>.,Excepto <i>Tapirus terrestris</i>.,Sauf <i>Tapirus terrestris</i>.,,,,,
FAMILY,794,II,22/10/1987,,0,,US,0,,,,Except <i>Catagonus wagneri</i> and population of US.,Excepto <i>Catagonus wagneri</i> y la población de US.,Sauf <i>Catagonus wagneri</i> et la population de US.,Except <i>Catagonus wagneri</i> and population of the United States.,,,,
FAMILY,794,II,18/09/1997,,1,,,0,,,,"Except the species included in Appendix I (<i>Catagonus wagneri</i>) and the populations of <i>Pecari tajacu</i> of Mexico and the United States of America, which are not included in the Appendices.","Excepto las especies incluidas en el Apéndice I (<i>Catagonus wagneri</i>) y las poblaciones de <i>Pecari tajacu</i> de Estados Unidos y México, que no están incluidas en los Apéndices","Sauf les espèces inscrites à l'Annexe I (<i>Catagonus wagneri</i>) et les populations de <i>Pecari tajacu</i> des Etats-Unis d'Amérique et du Mexique, qui ne sont pas inscrites aux annexes.","Included in Appendix II, except for the species included in Appendix I and the populations of Pecari tajacu of Mexico and the United States of America, which are not included in the Appendices.",8,,,
FAMILY,801,II,04/02/1977,,0,,,0,,,,,,,,,,,
FAMILY,801,II,19/07/2000,,1,,,0,,,,Except the species included in Appendix I. A zero annual export quota has been established for Geochelone sulcata for specimens removed from the wild and traded for primarily commercial purposes.,Excepto las especies incluidas en el Apéndice I. Se ha establecido un cupo anual de exportación nulo para los especímenes de Geochelone sulcata recolectados en el medio silvestre y comercializados con fines primordialmente comerciales.,Sauf les espèces inscrites à l'Annexe I. Un quota d'exportation annuel zéro a été établi pour les spécimens prélevés dans la nature de Geochelone sulcata pour des transactions principalement commerciales.,"Included in Appendix II, except for the species included in Appendix I. A zero annual export quota has been established for Geochelone sulcata for specimens removed from the wild and traded for primarily commercial purposes.",37,,,
FAMILY,825,II/r,01/08/1985,AT,0,,,0,,,,,,,,,,,
FAMILY,825,II,01/08/1985,,1,,,0,,,,,,,,,,,
FAMILY,825,II/w,06/01/1989,AT,0,,,0,,,,,,,,,,,
FAMILY,828,II/r,22/10/1987,CH,1,,,0,,,,,,,,,,,
FAMILY,828,II/r,22/10/1987,LI,1,,,0,,,,,,,,,,,
FAMILY,828,II,22/10/1987,,1,,,0,,,,,,,,,,,
FAMILY,834,II,01/08/1985,,0,,,0,,,,Includes only one species: <i>Tubipora musica</i>.,Incluida únicamente una especie: <i>Tubipora musica</i>.,N'inclut qu'une espèce: <i>Tubipora musica</i>.,,,,,
FAMILY,834,II/r,01/08/1985,AT,0,,,0,,,,,,,,,,,
FAMILY,834,II/w,06/01/1989,AT,0,,,0,,,,,,,,,,,
FAMILY,834,II,18/01/1990,,1,,,0,,,,Excludes fossils.,Excluye los fósiles.,Fossiles exclus.,,,,,
FAMILY,835,II,04/02/1977,,0,,,0,,,,Formerly included in PRIMATES spp.,Anteriormente incluida en Tupaiidae spp.,Précédemment inscrit sous Tupaiidae spp.,,,,,
FAMILY,835,II,23/06/2010,,1,,,1,731,ORDER,,Included in SCANDENTIA spp.,Incluida en SCANDENTIA spp.,Inscrip sous SCANDENTIA spp.,,,,,
FAMILY,841,III,26/02/1976,GH,0,,,0,,,,,,,,,,,
FAMILY,841,III/r,24/10/1977,DK,0,,,0,,,,,,,,,,,
FAMILY,841,II,28/06/1979,,1,,,1,147,ORDER,,Included in STRIGIFORMES spp.,Incluida en STRIGIFORMES spp.,Inscrit sous  STRIGIFORMES spp.,,,,,
FAMILY,841,III/w,28/06/1979,DK,0,,,0,,,,Reservation withdrawn as family included in Appendix II.,"Reserva retirada, ya que la familia se ha incluido en el Apéndice II",Réserve retirée du fait de l'inscription de la famille à l'Annexe II.,,,,,
FAMILY,841,DELIII,28/06/1979,GH,0,,,0,,,,,,,,,,,
FAMILY,845,II,11/06/1992,,1,,,0,,,,,,,,,,,
FAMILY,845,II/r,07/11/1993,KR,0,,,0,,,,,,,,,,,
FAMILY,845,II/w,06/10/1996,KR,0,,,0,,,,,,,,,,,
FAMILY,967,II,04/02/1977,,1,,,0,,,,Formerly included in Boidae spp.,Anteriormente incluida en Boidae spp.,Précédemment inscrit sous Boidae spp.,,,,,
FAMILY,968,II,04/02/1977,,1,,,0,,,,Formerly included in Boidae spp.,Anteriormente incluida en Boidae spp.,Précédemment inscrit sous Boidae spp.,,,,,
FAMILY,969,II,04/02/1977,,1,,,0,,,,Formerly included in Boidae spp.,Anteriormente incluida en Boidae spp.,Précédemment inscrit sous Boidae spp.,,,,,Except the subspecies included in Appendix I.
FAMILY,970,II,04/02/1977,,1,,,0,,,,Formerly included in Boidae spp.,Anteriormente incluida en Boidae spp.,Précédemment inscrit sous Boidae spp.,,,,,
GENUS,32,II,18/01/1990,,1,,,0,,,,,,,,,,,
GENUS,33,II,11/06/1992,,1,,,0,,,,,,,,,,,
GENUS,37,I,22/10/1987,,1,,,0,,,,,,,,,,,
GENUS,48,I,04/02/1977,,1,,,0,,,,,,,,,,,
GENUS,55,II/r,01/08/1985,AT,0,,,0,,,,,,,,,,,
GENUS,55,II,01/08/1985,,0,,,0,,,,,,,,,,,
GENUS,55,II/w,06/01/1989,AT,0,,,0,,,,,,,,,,,
GENUS,55,II,18/01/1990,,1,,,1,137,ORDER,,Included in SCLERACTINIA spp.,Incluida en SCLERACTINIA spp.,Inscrit sous SCLERACTINIA spp.,,,,,
GENUS,101,II/r,20/03/1987,CH,1,,,0,,,,,,,,,,,
GENUS,101,II/r,20/03/1987,LI,1,,,0,,,,,,,,,,,
GENUS,251,I,01/07/1975,,1,,,0,,,,,,,,,,,
GENUS,272,I,22/10/1987,,1,,,0,,,,,,,,,,,
GENUS,278,III,26/02/1976,GH,0,,,0,,,,,,,,,,,
GENUS,278,III/r,24/10/1977,DK,0,,,0,,,,,,,,,,,
GENUS,278,III/w,01/01/1984,DK,0,,,0,,,,,,,,,,,
GENUS,278,DELIII,01/08/1985,GH,1,,,0,,,,Listing subsequently changed to named species.,Inclusión modificada ulteriormente para citar las especies.,Inscription modifiée ultérieurement pour citer les espèces.,,,,,
GENUS,284,II,11/06/1992,,1,,,0,,,,Includes generic synonym <i>Ptilolaemus</i>.,Incluye el sinónimo genérico <i>Ptilolaemus</i>.,Inclut le synonyme générique <i>Ptilolaemus</i>.,,,,,
GENUS,358,III,22/04/1976,TN,0,,,0,,,,,,,,,,,
GENUS,358,II,04/02/1977,,0,,,0,,,,,,,,,,,
GENUS,358,DELIII,04/02/1977,TN,0,,,0,,,,,,,,,,,
GENUS,358,II,28/06/1979,,1,,,1,59,ORDER,,Included in FALCONIFORMES spp.,Incluida en FALCONIFORMES spp.,Inscrit sous FALCONIFORMES spp.,,,,,
Genus,359,II/r,10/06/1981,CH,0,,,,,,,,,,,,,,
Genus,359,II/w,01/01/1982,CH,1,,,,,,,,,,,,,,
GENUS,365,II/r,20/03/1987,CH,1,,,0,,,,,,,,,,,
GENUS,365,II/r,20/03/1987,LI,1,,,0,,,,,,,,,,,
GENUS,381,II,04/02/1977,,1,,,0,,,,,,,,,,,
GENUS,532,II,13/02/2003,,0,,,0,,,,Formerly included in <i>Kachuga</i> spp.,Anteriormente incluida en <i>Kachuga</i> spp.,Précédemment inscrit sous <i>Kachuga</i> spp.,,,,,
GENUS,532,DELII,12/06/2013,,1,,,0,,,,Listing subsequently changed to named species.,Inclusión modificada ulteriormente para citar las especies.,Inscription modifiée ultérieurement pour citer les espèces.,,,,,
GENUS,567,I/r,29/07/1983,RU,0,,,0,,,,Original reservation as USSR.,Reserva original de la URSS.,Reserve formulée à l'origine par l'URSS.,,,,,
GENUS,567,I/r,29/07/1983,AT,0,,,0,,,,,,,,,,,
GENUS,567,I,29/07/1983,,1,,,0,,,,,,,,,,,
GENUS,567,I/w,06/01/1989,AT,0,,,0,,,,,,,,,,,
GENUS,567,I/w,26/04/1995,RU,0,,,0,,,,Original reservation as USSR.,Reserva original de la URSS.,Reserve formulée à l'origine par l'URSS.,,,,,
GENUS,572,I,28/06/1979,,1,,,0,,,,,,,,,,,
GENUS,573,II,22/10/1987,,1,,,0,,,,,,,,,,,
GENUS,632,I,06/06/1981,,1,,,0,,,,,,,,,,,
GENUS,633,II,16/02/1995,,1,,,0,,,,Includes Brachypelmides.,Incluye Brachypelmides.,Inclut Brachypelmides.,,,,,
GENUS,642,II,04/02/1977,,1,,,0,,,,Formerly included in <i>Chamaeleo</i> spp.,Anteriormente incluida en <i>Chamaeleo</i> spp.,Précédemment inscrit sous <i>Chamaeleo</i> spp.,,,,,
GENUS,652,II,13/02/2003,,1,,,0,,,,,,,,,,,
GENUS,663,II,11/06/1992,,1,,,0,,,,,,,,,,,
GENUS,690,I,01/07/1975,,1,,,0,,,,,,,,,,,
GENUS,907,II,04/02/1977,,1,,,0,,,,,,,,,,,
GENUS,932,II,01/07/1975,,0,,,0,,,,,,,,,,,
GENUS,932,II/r,31/10/1976,GB,0,,,0,,,,On behalf of HK.,En nombre de HK.,Au nom de HK.,On behalf of Hong Kong.,,,,
GENUS,932,II,04/02/1977,,1,,,1,801,FAMILY,,Included in Testudinidae spp.,Incluida en Testudinidae spp.,Inscrit sous Testudinidae spp.,,,,,
GENUS,932,II/w,03/07/1978,GB,0,,,0,,,,On behalf of HK.,En nombre de HK.,Au nom de HK.,On behalf of Hong Kong.,,,,
GENUS,944,I,04/02/1977,,1,,,0,,,,Specimens of the domesticated form are not subject to the provisions of the Convention.,Los especímenes de la forma domesticada no están sujetos a las disposiciones de la Convención.,Les spécimens de la forme domestiquée ne sont pas soumis aux dispositions de la Convention.,"Included in Appendix I, except for specimens of the domesticated form, which are not subject to the provisions of the Convention.",25,,,
GENUS,960,II,13/02/2003,,0,,,0,,,,,,,,,,,
GENUS,960,II,12/06/2013,,1,,,0,,,,Except the species included in Appendix I.,Excepto las especies incluidas en el Apéndice I.,Sauf les espèces inscrites à l'Annexe I.,,,,,
GENUS,1111,III,13/09/2000,ZA,1,,,0,,,,,,,,,,,
GENUS,1130,II,01/07/1975,,1,,,0,,,,,,,,,,,
GENUS,1130,II/r,31/10/1976,GB,0,,,0,,,,On behalf of HK.,En nombre de HK.,Au nom de HK.,On behalf of Hong Kong.,,,,
GENUS,1130,II/w,07/03/1978,GB,0,,,0,,,,On behalf of HK.,En nombre de HK.,Au nom de HK.,On behalf of Hong Kong.,,,,
Genus,1151,II/r,13/06/1981,CH,0,,,,,,Subspecies: 5323,,,,,,,,
Genus,1151,II/w,01/01/1982,CH,1,,,,,,Subspecies: 5323,,,,,,,,
GENUS,1157,II,06/06/1981,,1,,,0,,,,Includes <i>Pseudocordylus</i> spp.,Incluye <i>Pseudocordylus</i> spp.,Inclut <i>Pseudocordylus</i> spp.,,,,,
GENUS,1246,II,19/07/2000,,0,,,0,,,,,,,,,,,
GENUS,1246,II,12/06/2013,,1,,,0,,,,"Zero quota for wild specimens for commercial purposes for Cuora aurocapitata, C. flavomarginata, C. galbinifrons, C. mccordi, C. mouhotii, C. pani, C. trifasciata, C. yunnanensis and C. zhoui.","Cupo nulo para especímenes silvestres de Cuora aurocapitata, C. flavomarginata, C. galbinifrons, C. mccordi, C. mouhotii, C. pani, C. trifasciata, C. yunnanensis y C. zhoui comercializados con fines comerciales)","Quota nul pour les spécimens sauvages de Cuora aurocapitata, C. flavomarginata, C. galbinifrons, C. mccordi, C. mouhotii, C. pani, C. trifasciata, C. yunnanensis et C. zhoui faisant l'objet de transactions commerciales","Zero quota for wild specimens for commercial purposes for Cuora aurocapitata, C. flavomarginata, C. galbinifrons, C. mccordi, C. mouhotii, C. pani, C. trifasciata, C. yunnanensis and C. zhoui.",41,,,
GENUS,1278,II,04/02/1977,,0,,,0,,,,,,,,,,,
GENUS,1278,I,06/06/1981,,1,,,0,,,,,,,,,,,
GENUS,1278,DELII,06/06/1981,,0,,,0,,,,,,,,,,,
GENUS,1358,II/r,22/10/1987,CH,1,,,0,,,,,,,,,,,
GENUS,1358,II/r,22/10/1987,LI,1,,,0,,,,,,,,,,,
GENUS,1358,II,22/10/1987,,1,,,0,,,,,,,,,,,
GENUS,1465,II,18/01/1990,,1,,,0,,,,,,,,,,,
GENUS,1667,I,01/07/1975,,1,,,0,,,,Formerly included in <i>Balaena</i> spp.,Anteriormente incluida en <i>Balaena</i> spp.,Précédemment inscrit sous <i>Balaena</i> spp.,,,,,
GENUS,1667,I/r,09/07/1975,CA,0,,,0,,,,,,,,,,,
GENUS,1667,I/w,11/08/1978,CA,0,,,0,,,,,,,,,,,
GENUS,1714,II/r,01/08/1985,AT,0,,,0,,,,,,,,,,,
GENUS,1714,II,01/08/1985,,0,,,0,,,,,,,,,,,
GENUS,1714,II/w,06/01/1989,AT,0,,,0,,,,,,,,,,,
GENUS,1714,II,18/01/1990,,1,,,1,137,ORDER,,Included in SCLERACTINIA spp.,Incluida en SCLERACTINIA spp.,Inscrit sous SCLERACTINIA spp.,,,,,
GENUS,1756,II/r,01/08/1985,AT,0,,,0,,,,,,,,,,,
GENUS,1756,II,01/08/1985,,0,,,0,,,,,,,,,,,
GENUS,1756,II/w,06/01/1989,AT,0,,,0,,,,,,,,,,,
GENUS,1756,II,18/01/1990,,1,,,1,137,ORDER,,Included in SCLERACTINIA spp.,Incluida en SCLERACTINIA spp.,Inscrit sous SCLERACTINIA spp.,,,,,
GENUS,1796,II/r,01/08/1985,AT,0,,,0,,,,,,,,,,,
GENUS,1796,II,01/08/1985,,0,,,0,,,,,,,,,,,
GENUS,1796,II/w,06/01/1989,AT,0,,,0,,,,,,,,,,,
GENUS,1796,II,18/01/1990,,1,,,1,137,ORDER,,Included in SCLERACTINIA spp.,Incluida en SCLERACTINIA spp.,Inscrit sous SCLERACTINIA spp.,,,,,
GENUS,1799,II,04/02/1977,,1,,,0,,,,Formerly included in <i>Chamaeleo</i> spp.,Anteriormente incluida en <i>Chamaeleo</i> spp.,Précédemment inscrit sous <i>Chamaeleo</i> spp.,,,,,
GENUS,1841,II,01/07/1975,,0,,,0,,,,,,,,,,,
GENUS,1841,II/r,31/10/1976,GB,0,,,0,,,,On behalf of HK.,En nombre de HK.,Au nom de HK.,On behalf of Hong Kong.,,,,
GENUS,1841,II,04/02/1977,,1,,,1,801,FAMILY,,Included in Testudinidae spp.,Incluida en Testudinidae spp.,Inscrit sous Testudinidae spp.,,,,,
GENUS,1841,II/w,03/07/1978,GB,0,,,0,,,,On behalf of HK.,En nombre de HK.,Au nom de HK.,On behalf of Hong Kong.,,,,
GENUS,1920,II,01/07/1975,,0,,,0,,,,,,,,,,,
GENUS,1920,II/r,31/10/1976,GB,0,,,0,,,,On behalf of HK.,En nombre de HK.,Au nom de HK.,On behalf of Hong Kong.,,,,
GENUS,1920,II,04/02/1977,,1,,,1,801,FAMILY,,Included in Testudinidae spp.,Incluida en Testudinidae spp.,Inscrit sous Testudinidae spp.,,,,,
GENUS,1920,II/w,03/07/1978,GB,0,,,0,,,,On behalf of HK.,En nombre de HK.,Au nom de HK.,On behalf of Hong Kong.,,,,
GENUS,1923,II,01/07/1975,,1,,,0,,,,,,,,,,,
GENUS,1939,III,14/06/2006,US,1,,,0,,,,,,,,,,,
GENUS,1988,II,04/02/1977,,0,,,0,,,,,,,,,,,
GENUS,1988,II,28/06/1979,,1,,,1,59,ORDER,,Included in FALCONIFORMES spp.,Incluida en FALCONIFORMES spp.,Inscrit sous FALCONIFORMES spp.,,,,,
GENUS,1993,II/r,01/08/1985,AT,0,,,0,,,,,,,,,,,
GENUS,1993,II,01/08/1985,,0,,,0,,,,,,,,,,,
GENUS,1993,II/w,06/01/1989,AT,0,,,0,,,,,,,,,,,
GENUS,1993,II,18/01/1990,,1,,,1,137,ORDER,,Included in SCLERACTINIA spp.,Incluida en SCLERACTINIA spp.,Inscrit sous SCLERACTINIA spp.,,,,,
Genus,1997,II,12/06/2013,,1,,,0,,,,,,,,,,,
Genus,1998,II,12/06/2013,,1,,,0,,,,"Entry into effect delayed by 18 months, i.e. until 14 September 2014.","Se aplaza 18 meses la entrada en vigor, es decir, hasta el 14 de septiembre de 2014","Entrée en vigueur de l'inscription reportée de 18 mois, c'est-à-dire jusqu'au 14 septembre 2014",,,,,
GENUS,2051,II,01/07/1975,,1,,,0,,,,,,,,,,,
GENUS,2051,II/r,31/10/1976,GB,0,,,0,,,,On behalf of HK.,En nombre de HK.,Au nom de HK.,On behalf of Hong Kong.,,,,
GENUS,2051,II/w,07/03/1978,GB,0,,,0,,,,On behalf of HK.,En nombre de HK.,Au nom de HK.,On behalf of Hong Kong.,,,,
GENUS,2125,I,01/07/1975,,1,,,0,,,,,,,,,,,
GENUS,2126,II/r,15/05/2004,ID,1,,,0,,,,,,,,,,,
GENUS,2126,II/r,15/05/2004,JP,1,,,0,,,,,,,,,,,
GENUS,2126,II/r,15/05/2004,KR,1,,,0,,,,,,,,,,,
GENUS,2126,II/r,15/05/2004,NO,1,,,0,,,,,,,,,,,
GENUS,2126,II,15/05/2004,,1,,,0,,,,,,,,,,,
GENUS,2159,III,28/05/2003,NZ,1,,,0,,,,,,,,,,,
GENUS,2223,I/r,29/07/1983,RU,0,,,0,,,,Original reservation as USSR.,Reserva original de la URSS.,Reserve formulée à l'origine par l'URSS.,,,,,
GENUS,2223,I/r,29/07/1983,AT,0,,,0,,,,,,,,,,,
GENUS,2223,I,29/07/1983,,1,,,0,,,,,,,,,,,
GENUS,2223,I/w,06/01/1989,AT,0,,,0,,,,,,,,,,,
GENUS,2223,I/w,26/04/1995,RU,0,,,0,,,,Original reservation as USSR.,Reserva original de la URSS.,Reserve formulée à l'origine par l'URSS.,,,,,
GENUS,2244,III,26/02/1976,GH,0,,,0,,,,,,,,,,,
GENUS,2244,III/r,24/10/1977,DK,0,,,0,,,,,,,,,,,
