ComName,LangShort,RecId,Rank,Designation,ReferenceID
Harlekyn-vylvis,AFR,15781,species,EU,7295
Donker vlermuisvis,AFR,17491,species,EU,7295
Groottand-saagvis,AFR,18174,species,"CITES,EU",7295
Kleintand-saagvis,AFR,18175,species,"CITES,EU",7295
Burchell se rooilerkie,AFR,18472,species,EU,7295
Bergrivier-rooivlerkie,AFR,18473,species,EU,7295
Vurige rooivlerkie,AFR,18474,species,EU,7295
Drakensberg-rooivlerkie,AFR,18475,species,EU,7295
Maluti-rooivlerkie,AFR,18475,species,EU,
Kleinstert-lipvis,AFR,18539,species,EU,7295
Blokkies-dikkop,AFR,19387,species,EU,7295
Walvishaai,AFR,19488,species,"CITES,EU",7295
Oos-kaapse kurper,AFR,19889,species,EU,7295
Laeveld-kurper,AFR,20160,species,EU,7295
Kaalbors-dikkop,AFR,20223,species,EU,
Spookpypvis,AFR,20328,species,EU,
Snylint-lipvis,AFR,20828,species,EU,
Drielint-lipvis,AFR,20832,species,EU,7295
Rivier-pypvis,AFR,21256,species,EU,
Bebaarde palingdikkop,AFR,21326,species,EU,
Otjikoto-kurper,AFR,21886,species,EU,7295
Kortvin-mako,AFR,29850,species,CMS,
Skulprand-hamerkop,AFR,41423,species,CITES,7295
Langvin-mako,AFR,41437,species,CMS,7295
Langkam-saagvis,AFR,41459,species,"CITES,EU",7295
Doringhaai,AFR,41470,species,CMS,7295
Spikkel-penhaai,AFR,41470,species,CMS,7295
Ky kebero,AMH,3748,species,EU,
Kalb,ARA,3855,species,"CITES,EU",7295
Kalb bahr,ARA,3855,species,"CITES,EU",7295
Wahsh,ARA,3855,species,"CITES,EU",7295
Kalb,ARA,4292,species,"CITES,EU",7295
Nauk,ARA,10028,species,EU,7295
Nok,ARA,10028,species,EU,7295
H'is'ân,ARA,10069,species,"CITES,EU",7295
Buzizi,ARA,10075,species,"CITES,EU",7295
Kheil,ARA,10075,species,"CITES,EU",7295
Kalb,ARA,11200,species,"CITES,EU",7295
Fel,ARA,12392,species,"CITES,EU",
Emad,ARA,17491,species,EU,7295
Minshâr,ARA,18175,species,"CITES,EU",7295
Cholaib-eldow,ARA,18604,species,EU,
Chanaz,ARA,19488,species,"CITES,EU",
Kissii,ARA,22085,species,EU,7295
Al karch,ARA,29850,species,CMS,7295
Deeba,ARA,29850,species,CMS,7295
Qarsh,ARA,29850,species,CMS,
H'anklyss,ARA,30324,species,"CITES,EU",7295
Abul-garn,ARA,41423,species,CITES,
Jarjur,ARA,41423,species,CITES,7295
Jarjur al graram,ARA,41423,species,CITES,7295
Abusef,ARA,41457,species,"CITES,EU",7295
Sayyafah,ARA,41457,species,"CITES,EU",7295
Abusef,ARA,41459,species,"CITES,EU",
Sayyaf,ARA,41459,species,"CITES,EU",7295
Sayyafah,ARA,41459,species,"CITES,EU",7295
Abou shoka,ARA,41470,species,CMS,
Kalb bouchouika,ARA,41470,species,CMS,
Kelb bahr,ARA,41470,species,CMS,7295
Kelb el bahr,ARA,41470,species,CMS,7295
Wâwy,ARA,41470,species,CMS,
Fil,AZE,7140,species,"CITES,EU",
Fil,AZE,12392,species,"CITES,EU",
Slon,BEL,12392,species,"CITES,EU",
Foli,BEN,14877,species,EU,7295
Ship,BUL,225,species,"CITES,EU",7295
Chiga,BUL,227,species,"CITES,EU",
Pastruga,BUL,229,species,"CITES,EU",7295
Atlantichka esetra,BUL,230,species,"CITES,EU",7295
Nemska essetra,BUL,230,species,"CITES,EU",
Ruska esetra,BUL,232,species,"CITES,EU",
Byal amur,BUL,5834,species,EU,
Moruna,BUL,10269,species,"CITES,EU",7295
Byal tolstolob,BUL,10723,species,EU,
Slon,BUL,12392,species,"CITES,EU",
Gorchivka,BUL,19671,species,EU,7295
Zmiorca,BUL,30324,species,"CITES,EU",
Zmiorka,BUL,30324,species,"CITES,EU",
Akula,BUL,41470,species,CMS,
Chernomorska akula,BUL,41470,species,CMS,7295
Kuceska akula,BUL,41470,species,CMS,7295
Morsko kuce,BUL,41470,species,CMS,7295
Esturió,CAT,230,species,"CITES,EU",7295
Tauró blanc,CAT,3855,species,"CITES,EU",7295
Cavall de mar,CAT,10070,species,"CITES,EU",7295
Marraix,CAT,11200,species,"CITES,EU",7295
Elefante,CAT,12392,species,"CITES,EU",
Solraig,CAT,29850,species,CMS,
