Scientific name,Rank,RecID,ParentRank,ParentRecID,Status,Species Author,notes,Designation
woodfordi,Species,18769,Genus,4125,A,"Thomas, 1888",,CITES_EU
voeltzkowi,Species,18768,Genus,4125,A,"Matschie, 1909",,CITES_EU
vetulus,Species,18767,Genus,4125,A,"Jouan, 1863",,CITES_EU
vampyrus,Species,18766,Genus,4125,A,"(Linnaeus, 1758)",,CITES_EU
tuberculatus,Species,18765,Genus,4125,A,"Peters, 1869",,CITES_EU
tonganus,Species,18764,Genus,4125,A,"Quoy & Gaimard, 1830",,CITES_EU
tokudae,Species,18763,Genus,4125,A,"Tate, 1934",,CITES_EU
temminckii,Species,18762,Genus,4125,A,"Peters, 1867",,CITES_EU
subniger,Species,18761,Genus,4125,A,"(Kerr, 1792)",,CITES_EU
speciosus,Species,18760,Genus,4125,A,"K. Andersen, 1908",,CITES_EU
seychellensis,Species,18759,Genus,4125,A,"Milne-Edwards, 1877",,CITES_EU
scapulatus,Species,18758,Genus,4125,A,"Peters, 1862",,CITES_EU
samoensis,Species,18757,Genus,4125,A,"Peale, 1848",,CITES_EU
rufus,Species,18756,Genus,4125,A,"É. Geoffroy, 1803",,CITES_EU
rodricensis,Species,18755,Genus,4125,A,"Dobson, 1878",,CITES_EU
rayneri,Species,18754,Genus,4125,A,"Gray, 1870",,CITES_EU
pumilus,Species,18753,Genus,4125,A,"Miller, 1911",,CITES_EU
pselaphon,Species,18752,Genus,4125,A,"Lay, 1829",,CITES_EU
poliocephalus,Species,18751,Genus,4125,A,"Temminck, 1825",,CITES_EU
pohlei,Species,18750,Genus,4125,A,"Stein, 1933",,CITES_EU
pilosus,Species,18749,Genus,4125,A,"K. Andersen, 1908",,CITES_EU
personatus,Species,18747,Genus,4125,A,"Temminck, 1825",,CITES_EU
ornatus,Species,18746,Genus,4125,A,"Gray, 1870",,CITES_EU
ocularis,Species,18745,Genus,4125,A,"Peters, 1867",,CITES_EU
nitendiensis,Species,18744,Genus,4125,A,"Sanborn, 1930",,CITES_EU
niger,Species,18743,Genus,4125,A,"(Kerr, 1792)",,CITES_EU
neohibernicus,Species,18742,Genus,4125,A,"Peters, 1876",,CITES_EU
molossinus,Species,18741,Genus,4125,A,"Temminck, 1853",,CITES_EU
melanotus,Species,18740,Genus,4125,A,"Blyth, 1863",,CITES_EU
melanopogon,Species,18739,Genus,4125,A,"Peters, 1867",,CITES_EU
mariannus,Species,18737,Genus,4125,A,"Desmarest, 1822",,CITES_EU
mahaganus,Species,18736,Genus,4125,A,"Sanborn, 1931",,CITES_EU
macrotis,Species,18735,Genus,4125,A,"Peters, 1867",,CITES_EU
lylei,Species,18734,Genus,4125,A,"K. Andersen, 1908",,CITES_EU
lombocensis,Species,18733,Genus,4125,A,"Dobson, 1878",,CITES_EU
livingstonii,Species,18732,Genus,4125,A,"Gray, 1866",,CITES_EU
leucopterus,Species,18731,Genus,4125,A,"Temminck, 1853",,CITES_EU
insularis,Species,18730,Genus,4125,A,"Hombron & Jacquinot, 1842",,CITES_EU
hypomelanus,Species,18729,Genus,4125,A,"Temminck, 1853",,CITES_EU
howensis,Species,18728,Genus,4125,A,"Troughton, 1931",,CITES_EU
griseus,Species,18727,Genus,4125,A,"(É. Geoffroy, 1810)",,CITES_EU
gilliardorum,Species,18726,Genus,4125,A,"Van Deusen, 1969",,CITES_EU
giganteus,Species,18725,Genus,4125,A,"(Brünnich, 1782)",,CITES_EU
fundatus,Species,18724,Genus,4125,A,"Felten & Kock, 1972",,CITES_EU
faunulus,Species,18723,Genus,4125,A,"Miller, 1902",,CITES_EU
dasymallus,Species,18722,Genus,4125,A,"Temminck, 1825",,CITES_EU
conspicillatus,Species,18721,Genus,4125,A,"Gould, 1850",,CITES_EU
chrysoproctus,Species,18720,Genus,4125,A,"Temminck, 1837",,CITES_EU
caniceps,Species,18719,Genus,4125,A,"Gray, 1870",,CITES_EU
brunneus,Species,18718,Genus,4125,A,"Dobson, 1878",,CITES_EU
anetianus,Species,18716,Genus,4125,A,"Gray, 1870",,CITES_EU
alecto,Species,18715,Genus,4125,A,"Temminck, 1837",,CITES_EU
aldabrensis,Species,18714,Genus,4125,A,"True, 1893",,CITES_EU
admiralitatum,Species,18713,Genus,4125,A,"Thomas, 1894",,CITES_EU
cyanopterus,Species,18712,Genus,4124,A,"(Fraser, 1839)",,CITES_EU
brasiliensis,Species,18711,Genus,4123,A,"(Gmelin, 1788)",,CITES_EU
hartlaubii,Species,18704,Genus,4121,A,"(Cassin, 1859)",,CITES_EU
viridis,Species,18700,Genus,4118,A,"(Linnaeus, 1766)",,CITES_EU
torquatus,Species,18699,Genus,4118,N,"(Gmelin, 1788)",,CITES_EU
sanguineus,Species,18698,Genus,4118,N,"Gould, 1854",,CITES_EU
pluricinctus,Species,18697,Genus,4118,N,"Gould, 1836",,CITES_EU
mariae,Species,18696,Genus,4118,N,"Gould, 1854",,CITES_EU
inscriptus,Species,18695,Genus,4118,N,"Swainson, 1822",,CITES_EU
frantzii,Species,18694,Genus,4118,N,"Cabanis, 1861",,CITES_EU
erythropygius,Species,18693,Genus,4118,N,"Gould, 1843",,CITES_EU
castanotis,Species,18692,Genus,4118,A,"Gould, 1834",,CITES_EU
bitorquatus,Species,18691,Genus,4118,N,"Vigors, 1826",,CITES_EU
beauharnaesii,Species,18690,Genus,4118,N,"Wagler, 1832",,CITES_EU
azara,Species,18689,Genus,4118,N,"(Vieillot, 1819)",,CITES_EU
aracari,Species,18688,Genus,4118,A,"(Linnaeus, 1758)",,CITES_EU
sandwichensis,Species,18678,Genus,4117,A,"(Ridgway, 1884)",,CMS
phaeopygia,Species,18676,Genus,4117,A,"(Salvin, 1876)",,CMS
madeira,Species,18674,Genus,4117,A,"Mathews, 1934",,CITES_EU
hasitata,Species,18671,Genus,4117,A,"(Kuhl, 1820)",,CITES_EU
feae,Species,18670,Genus,4117,A,"(Salvadori, 1899)",,CITES_EU
cahow,Species,18667,Genus,4117,A,"(Nichols & Mowbray, 1916)",,CMS
orientalis,Species,18661,Genus,4116,A,"(Linnaeus, 1758)",,CITES_EU
alchata,Species,18660,Genus,4116,A,"(Linnaeus, 1766)",,CITES_EU
alberti,Species,18659,Genus,4115,A,"Meyer, 1894",,CITES_EU
pulchra,Species,18658,Genus,4114,A,"Flannery, 1991",,CITES_EU
atrata,Species,18657,Genus,4114,A,"Thomas, 1888",,CITES_EU
anceps,Species,18656,Genus,4114,A,"K. Andersen, 1909",,CITES_EU
acrodonta,Species,18655,Genus,4114,A,"Hill & Beckon, 1978",,CITES_EU
nigrogularis,Species,18646,Genus,4109,A,"Gould, 1844",,CITES_EU
fulgidus,Species,18642,Genus,4107,A,"(Lesson, 1830)",,CITES_EU
psittacea,Species,18641,Genus,4106,A,"(Gmelin, 1789)",,CITES_EU
cyanurus,Species,18640,Genus,4105,A,"(Forster, 1795)",,CITES_EU
versicolor,Species,18639,Genus,4104,A,"(Lear, 1831)",,CITES_EU
iris,Species,18638,Genus,4104,A,"(Temminck, 1835)",,CITES_EU
goldiei,Species,18637,Genus,4104,A,"Sharpe, 1882",,CITES_EU
erithacus,Species,18633,Genus,4103,A,"Linnaeus, 1758",,CITES_EU
salvadorii,Species,18631,Genus,4102,A,"(Oustalet, 1880)",,CITES_EU
edwardsii,Species,18630,Genus,4102,A,"(Oustalet, 1885)",,CITES_EU
desmarestii,Species,18629,Genus,4102,A,"(Desmarest, 1826)",,CITES_EU
wardi,Species,18627,Genus,4101,N,"(E. Newton, 1867)",,CITES_EU
roseata,Species,18626,Genus,4101,A,"Biswas, 1951",,CITES_EU
longicauda,Species,18625,Genus,4101,A,"(Boddaert, 1783)",,CITES_EU
krameri,Species,18624,Genus,4101,A,"(Scopoli, 1769)",,CITES_EU
intermedia,Species,18623,Genus,4101,A,"(Rothschild, 1895)",,CITES_EU
himalayana,Species,18622,Genus,4101,A,"(Lesson, 1832)",,CITES_EU
finschii,Species,18621,Genus,4101,A,"(Hume, 1874)",,CITES_EU
exsul,Species,18620,Genus,4101,N,"(Newton, 1872)",,CITES_EU
eupatria,Species,18619,Genus,4101,A,"(Linnaeus, 1766)",,CITES_EU
echo,Species,18618,Genus,4101,A,"(Newton & Newton, 1876)",,CITES_EU
derbiana,Species,18617,Genus,4101,A,"(Fraser, 1852)",,CITES_EU
cyanocephala,Species,18616,Genus,4101,A,"(Linnaeus, 1766)",,CITES_EU
columboides,Species,18615,Genus,4101,A,"(Vigors, 1830)",,CITES_EU
caniceps,Species,18614,Genus,4101,A,"(Blyth, 1846)",,CITES_EU
calthorpae,Species,18613,Genus,4101,A,"(Blyth, 1849)",,CITES_EU
alexandri,Species,18612,Genus,4101,A,"(Linnaeus, 1758)",,CITES_EU
picta,Species,18611,Genus,4100,A,"Rothschild, 1896",,CITES_EU
modesta,Species,18610,Genus,4100,A,"Schlegel, 1873",,CITES_EU
madaraszi,Species,18609,Genus,4100,A,"A. B. Meyer, 1886",,CITES_EU
brehmii,Species,18608,Genus,4100,A,"Schlegel, 1873",,CITES_EU
strigilifer,Species,18604,Genus,4096,A,"(Cantor, 1849)",,CITES_EU
tayamai,Species,18603,Genus,4095,A,"Yabe & Sugiyama, 1935",,CITES_EU
grammicus,Species,18602,Genus,4094,A,"(Gosse, 1847)",,CITES_EU
kaufmanni,Species,18601,Genus,4093,A,"(Kessler, 1874)",,"CITES_EU,CMS"
hermanni,Species,18600,Genus,4093,A,"(Kessler, 1877)",,"CITES_EU,CMS"
fedtschenkoi,Species,18599,Genus,4093,A,"(Kessler, 1872)",,"CITES_EU,CMS"
