SpcRecID,Scientific name,Rank,Accepted RecID,Accepted rank,Status,RefRecIDs
29423,tainguensis,Species,23037,Species,S,18
32091,flavifasciata,Species,28768,Species,S,252
3132,bengalensis,Species,3133,Species,S,381
20644,minimus,Species,20640,Species,S,381
22716,longimembris,Species,22712,Species,S,381
3132,bengalensis,Species,3133,Species,S,386
9207,albertinum,Species,9212,Species,S,386
20644,minimus,Species,20640,Species,S,386
22713,castanops,Species,22720,Species,S,386
22716,longimembris,Species,22712,Species,S,386
1022,decora,Species,1011,Species,S,387
3726,excellens,Species,3723,Species,S,387
9211,californicum,Species,9217,Species,S,387
20893,habroptilus,Species,103185,Species,S,398
20893,habroptilus,Species,103185,Species,S,466
20893,habroptilus,Species,103185,Species,S,467
100,erythronemius,Species,129,Species,S,476
135,ventralis,Species,129,Species,S,476
20642,holospilus,Species,20640,Species,S,523
20644,minimus,Species,20640,Species,S,523
22713,castanops,Species,22720,Species,S,541
22716,longimembris,Species,22712,Species,S,541
9222,ngamiense,Species,9212,Species,S,574
9207,albertinum,Species,9212,Species,S,576
3726,excellens,Species,3723,Species,S,595
5681,harmani,Species,5680,Species,S,595
9207,albertinum,Species,9212,Species,S,595
12373,tener,Species,12364,Species,S,595
16549,affinis,Species,16553,Species,S,595
16551,manillae,Species,16553,Species,S,595
16552,mindorensis,Species,16553,Species,S,595
16554,samarensis,Species,16553,Species,S,595
18160,waterstradti,Species,18156,Species,S,595
20644,minimus,Species,20640,Species,S,595
20893,habroptilus,Species,103185,Species,S,595
9207,albertinum,Species,9212,Species,S,597
5681,harmani,Species,5680,Species,S,637
12373,tener,Species,12364,Species,S,713
17493,barnardi,Species,17500,Species,S,713
17497,flaveolus,Species,17495,Species,S,713
20893,habroptilus,Species,103185,Species,S,713
22119,rubritorquis,Species,22115,Species,S,713
9207,albertinum,Species,9212,Species,S,723
9213,castaneum,Species,9212,Species,S,723
9222,ngamiense,Species,9212,Species,S,723
5681,harmani,Species,5680,Species,S,889
20893,habroptilus,Species,103185,Species,S,910
16549,affinis,Species,16553,Species,S,917
16551,manillae,Species,16553,Species,S,917
16552,mindorensis,Species,16553,Species,S,917
16554,samarensis,Species,16553,Species,S,917
9207,albertinum,Species,9212,Species,S,918
5681,harmani,Species,5680,Species,S,931
20893,habroptilus,Species,103185,Species,S,983
20893,habroptilus,Species,103185,Species,S,1060
4757,gibsoni,Species,4759,Species,S,1068
5068,orina,Species,5063,Species,S,1068
9782,spencei,Species,9778,Species,S,1068
21831,leucurus,Species,21830,Species,S,1068
22815,ruficrissa,Species,22814,Species,S,1068
20893,habroptilus,Species,103185,Species,S,1073
16549,affinis,Species,16553,Species,S,1169
16551,manillae,Species,16553,Species,S,1169
16552,mindorensis,Species,16553,Species,S,1169
16554,samarensis,Species,16553,Species,S,1169
22716,longimembris,Species,22712,Species,S,1242
20893,habroptilus,Species,103185,Species,S,1254
17493,barnardi,Species,17500,Species,S,1288
17497,flaveolus,Species,17495,Species,S,1288
17489,minor,Species,17488,Species,S,1496
28431,glacialis,Species,15421,Species,S,1605
17489,minor,Species,17488,Species,S,1610
18748,phaeocephalus,Species,18730,Species,S,1658
28421,intermedius,Species,14941,Species,S,1738
17489,minor,Species,17488,Species,S,2162
41667,lineatus,Species,17565,Species,S,2169
141,lucifer,Species,139,Species,S,2306
18717,argentatus,Species,18720,Species,S,2306
18738,mearnsi,Species,18760,Species,S,2306
18748,phaeocephalus,Species,18730,Species,S,2306
18771,sanctacrucis,Species,18744,Species,S,2306
18717,argentatus,Species,18720,Species,S,2355
17489,minor,Species,17488,Species,S,2774
15515,caelestis,Species,15521,Species,S,2863
15522,richmondia,Species,15521,Species,S,2863
22313,plateni,Species,22316,Species,S,2863
15515,caelestis,Species,15521,Species,S,2906
15522,richmondia,Species,15521,Species,S,2906
22313,plateni,Species,22316,Species,S,2906
15522,richmondia,Species,15521,Species,S,2908
15515,caelestis,Species,15521,Species,S,2913
22313,plateni,Species,22316,Species,S,2913
22313,plateni,Species,22316,Species,S,2915
15515,caelestis,Species,15521,Species,S,2946
15522,richmondia,Species,15521,Species,S,2946
22313,plateni,Species,22316,Species,S,2946
22313,plateni,Species,22316,Species,S,2952
15515,caelestis,Species,15521,Species,S,2969
15522,richmondia,Species,15521,Species,S,3008
41654,pallidum,Species,27853,Species,S,3067
22313,plateni,Species,22316,Species,S,3095
196,rosea,Species,171,Species,S,3119
206,vittata,Species,168,Species,S,3119
7873,lefevrei,Species,7890,Species,S,3119
7883,delicata,subspecies,7885,Species,S,3119
13294,quadripaludium,Species,13279,Subspecies,S,3119
71425,japonicum,Species,103496,Species,S,3119
41666,cropanii,Species,23101,Species,S,3128
29152,ophryomegas,Species,2920,Species,S,3183
16916,befotakensis,Species,16911,Species,S,3184
16920,chekei,Species,16911,Species,S,3184
16935,minuthi,Species,16932,Species,S,3185
10238,bergeri,Species,18400,Species,S,3189
31776,boettgeri,Species,4439,Species,S,3215
31777,angeli,Species,4432,Species,S,3215
31779,balteatus,Species,4435,Species,S,3215
31781,bifidus,Species,4437,Species,S,3215
31782,brevicornis,Species,4440,Species,S,3215
31783,campani,Species,8764,Species,S,3215
31786,cucullatus,Species,4450,Species,S,3215
31787,fallax,Species,4455,Species,S,3215
31788,furcifer,Species,4458,Species,S,3215
31789,gallus,Species,4459,Species,S,3215
31790,gastrotaenia,Species,4460,Species,S,3215
31791,globifer,Species,4461,Species,S,3215
31792,guibei,Species,4464,Species,S,3215
31794,lateralis,Species,4472,Species,S,3215
31795,linotus,Species,4474,Species,S,3215
31796,malthe,Species,4475,Species,S,3215
31797,minor,Species,8766,Species,S,3215
31798,monoceras,Species,4481,Species,S,3215
31799,nasutus,Species,4484,Species,S,3215
31800,oshaughnessyi,Species,4485,Species,S,3215
31801,oustaleti,Species,4486,Species,S,3215
31802,pardalis,Species,4488,Species,S,3215
31803,parsonii,Species,4489,Species,S,3215
31804,petteri,Species,4490,Species,S,3215
31807,rhinoceratus,Species,4496,Species,S,3215
31811,verrucosus,Species,4506,Species,S,3215
31812,willsii,Species,4509,Species,S,3215
31778,antimena,Species,4433,Species,S,3217
31793,labordi,Species,8765,Species,S,3217
31807,rhinoceratus,Species,4496,Species,S,3217
31777,angeli,Species,4432,Species,S,3218
31809,tsaratananensis,Species,4504,Species,S,3218
31779,balteatus,Species,4435,Species,S,3219
31780,belalandaensis,Species,4436,Species,S,3220
31784,capuroni,Species,4445,Species,S,3221
31805,peyrierasi,Species,4491,Species,S,3222
31810,tuzetae,Species,4505,Species,S,3223
29152,ophryomegas,Species,2920,Species,S,3230
32982,childreni,Species,13858,Species,S,3249
22881,irrawadicus,Species,22864,Species,S,3267
8252,barbouri,Species,8254,Species,S,3313
31815,enydris,Species,5329,Species,S,3313
29180,hexadactyla,Species,23466,Species,S,3319
29181,tigerina,Species,23468,Species,S,3319
38859,bolivianus,Species,23434,Species,S,3319
38860,boulengeri,Species,23435,Species,S,3319
38861,erythromos,Species,23436,Species,S,3319
38862,espinosai,Species,23437,Species,S,3319
38864,ingeri,Species,23438,Species,S,3319
38865,maculatus,Species,23439,Species,S,3319
38866,myersi,Species,23440,Species,S,3319
38867,parvulus,Species,23441,Species,S,3319
38868,petersi,Species,23442,Species,S,3319
38870,pictus,Species,23443,Species,S,3319
38871,pulchripectus,Species,23444,Species,S,3319
38873,smaragdinus,Species,23445,Species,S,3319
38876,tricolor,Species,23446,Species,S,3319
38877,zaparo,Species,23447,Species,S,3319
38879,abditus,Species,23452,Species,S,3319
38880,altobueyensis,Species,23453,Species,S,3319
38881,bombetes,Species,23454,Species,S,3319
38882,fulguritus,Species,23455,Species,S,3319
38883,minutus,Species,23456,Species,S,3319
38884,opisthomelas,Species,23457,Species,S,3319
38886,viridis,Species,23459,Species,S,3319
38887,bassleri,Species,23462,Species,S,3319
38889,silverstonei,Species,23463,Species,S,3319
38891,trivittatus,Species,23464,Species,S,3319
39457,femoralis,Species,23430,Species,S,3319
41655,liberiensis,Species,23425,Species,S,3319
41656,malcolmi,Species,23423,Species,S,3319
41658,osgoodi,Species,23428,Species,S,3319
16916,befotakensis,Species,16911,Species,S,3336
16920,chekei,Species,16911,Species,S,3336
16931,leiogaster,Species,16936,Species,S,3336
16935,minuthi,Species,16932,Species,S,3336
16949,trilineata,Species,16919,Species,S,3336
34032,oxiana,Subspecies,14311,Species,S,3340
29143,oenpelliensis,Species,13861,Species,S,3344
29343,bredli,Species,13870,Species,S,3345
41656,malcolmi,Species,23423,Species,S,3347
34032,oxiana,Subspecies,14311,Species,S,3391
41658,osgoodi,Species,23428,Species,S,3391
22195,ater,Species,1820,Subspecies,S,3396
22196,gangeticus,Species,27923,Species,S,3396
22197,hurum,Species,29035,Species,S,3396
22198,nigricans,Species,2173,Species,S,3396
34032,oxiana,Subspecies,14311,Species,S,3401
3004,fischeri,Species,105222,Species,S,3422
16916,befotakensis,Species,16911,Species,S,3425
16920,chekei,Species,16911,Species,S,3425
16935,minuthi,Species,16932,Species,S,3425
16949,trilineata,Species,16919,Species,S,3425
38857,azureiventris,Species,23433,Species,S,3427
29345,atra,subspecies,14308,Species,S,3445
34031,kaouthia,subspecies,14309,Species,S,3445
34032,oxiana,Subspecies,14311,Species,S,3445
34033,philippinensis,Subspecies,14312,Species,S,3445
34035,samarensis,Subspecies,14313,Species,S,3445
34036,sputatrix,Subspecies,14314,Species,S,3445
34037,sumatrana,Subspecies,14315,Species,S,3445
22459,nigropunctatus,Species,22461,Species,S,3464
32980,albertisii,Species,13853,Species,S,3487
32983,mackloti,Species,25611,Species,S,3487
32986,papuana,Species,13863,Species,S,3487
31776,boettgeri,Species,4439,Species,S,3504
31781,bifidus,Species,4437,Species,S,3504
31782,brevicornis,Species,4440,Species,S,3504
31783,campani,Species,8764,Species,S,3504
31785,cephalolepis,Species,4446,Species,S,3504
31786,cucullatus,Species,4450,Species,S,3504
31787,fallax,Species,4455,Species,S,3504
31788,furcifer,Species,4458,Species,S,3504
31789,gallus,Species,4459,Species,S,3504
31790,gastrotaenia,Species,4460,Species,S,3504
31791,globifer,Species,4461,Species,S,3504
31792,guibei,Species,4464,Species,S,3504
