Kingdom,PhyName,ClaName,OrdName,FamName,GenName,Spcname,SpcInfraRank,SpcInfraepithet,Spcrecid,SpcStatus,AcceptedSpcRecID
Animalia,CHORDATA,MAMMALIA,CARNIVORA,AILURIDAE,Ailurus,refulgens,NULL,NULL,73911,S,714
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Canis,himalayensis,NULL,NULL,103906,S,3746
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Canis,indica,NULL,NULL,103907,S,3746
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Canis,rufus,NULL,NULL,3747,S,3746
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Canis,rufus,ssp.,floridanus,78876,S,3746
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Canis,rufus,ssp.,rufus,78875,S,3746
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Lynchailurus,pajeros,NULL,NULL,100926,S,101179
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Oncifelis,pajeros,NULL,NULL,28426,S,101179
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Canis,niger,NULL,NULL,27991,S,3746
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Herpailurus,yaguarondi,NULL,NULL,104271,S,9948
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Pseudalopex,fulvipes,NULL,NULL,101182,S,28567
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Oncifelis,braccata,NULL,NULL,98256,S,101175
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Canis,familiaris,ssp.,dingo,3754,S,3746
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Canis,lupus,ssp.,dingo,101708,S,3746
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Neofelis,diardi,NULL,NULL,104119,S,14519
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Oncifelis,geoffroyi,NULL,NULL,101177,S,15310
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Oncifelis,guigna,NULL,NULL,101178,S,15311
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Canis,familiaris,NULL,NULL,98437,S,3746
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Canis,lycaon,NULL,NULL,87790,S,3746
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Oreailurus,jacobita,NULL,NULL,87800,S,15452
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Oncifelis,colocolo,NULL,NULL,101176,S,15309
