ComName,LanDesc,SpcRecId
Chilla,Spanish,18440
Zorro gris argentino,Spanish,18440
Zorro chico,Spanish,18440
Renard gris d'Argentine,French,18440
Renard de Chiloé,French,18440
Renard de la pampa,French,18441
Azara's Zorro,English,18441
Pampa Fox,English,18441
Renard d'Azara,French,18441
Zorro de la Pampa,Spanish,18441
Saola,English,18597
Vu Quang Ox,English,18597
Saola,French,18597
Saola,Spanish,18597
Ver nota pie de página,Spanish,18597
Northern Pudu,English,18847
Sachacabra,Spanish,18847
Pudu norteño,Spanish,18847
Venadito de los páramos,Spanish,18847
Venado conejo,Spanish,18847
Pudu du nord,French,18847
Poudou du nord,French,18847
Pudu sureño,Spanish,18848
Chilean Pudu,English,18848
Southern Pudu,English,18848
Ciervo enano,Spanish,18848
Pudu meridional,Spanish,18848
Venadito,Spanish,18848
Poudou du sud,French,18848
Pudu du sud,French,18848
Red Tiger,English,18868
Puma,English,18868
Cougar,English,18868
Mountain Lion,English,18868
Deer Tiger,English,18868
Mitzli,Spanish,18868
Puma,Spanish,18868
León americano,Spanish,18868
León bayo,Spanish,18868
Onza bermeja,Spanish,18868
Puma,French,18868
Florida Panther,English,18869
Florida Cougar,English,18869
Florida Puma,English,18869
León de Florida,Spanish,18869
Puma de Florida,Spanish,18869
Cougar de Floride,French,18869
Puma de Floride,French,18869
Central American Puma,English,18870
Costa Rican Puma,English,18870
León costarricense,Spanish,18870
Puma costarricense,Spanish,18870
Puma d'Amérique centrale,French,18870
Puma de América Central,Spanish,18870
Eastern Panther,English,18871
Eastern Puma,English,18871
Eastern Cougar,English,18871
Puma oriental,Spanish,18871
Puma de l'est de l'Amérique du nord,French,18871
Cougouar,French,18871
Puma del este de América del Norte,Spanish,18871
Rebeco de los Apeninos,Spanish,19766
Abruzzo Chamois,English,19766
Gamuza de los Abruzzos,Spanish,19766
Rebeco de los Abruzzos,Spanish,19766
Apennine Chamois,English,19766
Chamois des Abruzzes,French,19766
Gamuza alpina,Spanish,19766
Isard,French,19771
Rebeco ibérico,Spanish,19771
Pyrenean Chamois,English,19771
Southern Chamois,English,19771
Saiga Antelope,English,19832
Saiga,English,19832
Saïga,French,19832
Saiga,Spanish,19832
Antílope saiga,Spanish,19832
Mongolian Saiga,English,19833
Saïga de Mongolie,French,19833
Savannah Dog,English,20468
Bush Dog,English,20468
Umba,Spanish,20468
Zorro vinagre,Spanish,20468
Cachorro vinagre,Spanish,20468
Cachorro de mato vinagre,Spanish,20468
Perro de monte,Spanish,20468
Chien des buissons,French,20468
Perro de los matorrales,Spanish,20468
Pygmy Hog,English,21172
Jabalí pigmeo,Spanish,21172
Jabalí enano,Spanish,21172
Sanglier nain,French,21172
Sanglier pygmée,French,21172
White-lipped Peccary,English,21552
Pecarí de labio blanco,Spanish,21552
Pécari aux babines blanches,French,21552
Pécari à barbe blanche,French,21552
Chousingha,English,21661
Four-horned Antelope,English,21661
Antílope de cuatrocuernos,Spanish,21661
Tétracère,French,21661
Bongo,English,22047
Bongo,Spanish,22047
Bongo,French,22047
Marshbuck,English,22050
Sitatunga,English,22050
Sitatunga,Spanish,22050
Guib d'eau,French,22050
Sitatunga,French,22050
Ounce,English,22732
Snow Leopard,English,22732
Pantera de la nieves,Spanish,22732
Leopardo nival,Spanish,22732
Irbis,French,22732
Once,French,22732
Panthère des neiges,French,22732
Léopard des neiges,French,22732
Leopardo de las nieves,Spanish,22732
Vicugna,English,22956
Vicuña,English,22956
Vicuña,Spanish,22956
Vigogne,French,22956
Bengal Fox,English,23049
Zorro de Bengala,Spanish,23049
Renard du Bengale,French,23049
Corsac,English,23050
Blanford's Fox,English,23050
Hoary Fox,English,23050
Afghan Fox,English,23050
Dog Fox,English,23050
Steppe Fox,English,23050
Zorro de Blanford,Spanish,23050
Renard de Blanford,French,23050
Northern Swift Fox,English,23054
Fennec Fox,English,23058
Fennec,Spanish,23058
Fennec,French,23058
Zorro del Sahara,Spanish,23058
Red Fox,English,23062
Renard roux,French,23062
Zorro rojo,Spanish,23062
Urial,French,29583
Urial,Spanish,29583
Red Sheep,English,29583
Shapo,English,29583
Shapu,English,29583
Urial,English,29583
Urial,French,29583
Elk,English,29740
Red Deer,English,29740
Wapiti,English,29740
Cerf élaphe,French,29740
Ciervo rojo,Spanish,29740
Fallow Deer,English,29741
Daim européen,French,29741
Gamo,Spanish,29741
Hog Deer,English,30195
White-tailed Deer,English,30202
cerf de Virginie,French,30202
Bontebok,English,30208
Blesbok,English,30208
Bukhara Urial,English,41607
Transcaspian Urial,English,41608
Afghan Urial,English,41609
Punjab Urial,English,41610
Severtzov's Urial,English,41611
Anhui Musk Deer,English,74591
Wisconsin Cougar,English,78891
Kashmir Musk Deer,English,87090
Himalayan Serow,English,87099
Pantanal Cat,English,101175
Pampas Cat,English,101179
Bola Batu Babirusa,English,101195
North Sulawesi Babirusa,English,101196
Malenge Babirusa,English,101197
Central American Red Brocket,English,101204
Chinese Serow,English,101212
Red Serow,English,101213
Mongolian Saiga,English,101222
