Kingdom,PhyName,ClaName,OrdName,FamName,GenName,Spcname,SpcInfraRank,SpcInfraepithet,Spcrecid,SpcStatus
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,CERVIDAE,Dama,dama,ssp.,mesopotamica,6231,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Damaliscus,lunatus,NULL,NULL,6235,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,CERVIDAE,Cervus,elaphus,ssp.,bactrianus,4258,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,CERVIDAE,Cervus,elaphus,ssp.,barbarus,4259,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,CERVIDAE,Cervus,elaphus,ssp.,hanglu,4261,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Cephalophus,silvicultor,NULL,NULL,4150,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Cephalophus,zebra,NULL,NULL,4153,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,CERVIDAE,Rucervus,duvaucelii,NULL,NULL,4257,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Cephalophus,jentinki,NULL,NULL,4140,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Philantomba,monticola,NULL,NULL,4143,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Cephalophus,ogilbyi,NULL,NULL,4148,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Capra,falconeri,ssp.,megaceros,3793,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,TAYASSUIDAE,Catagonus,wagneri,NULL,NULL,4015,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Cephalophus,dorsalis,NULL,NULL,4139,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Capra,falconeri,NULL,NULL,3787,A
