taxon_concept_id,Rank,GEO_entity,ISO Code 2,Reference IDs,Designation
55982,SPECIES,COUNTRY,MG,18813,CITES_EU
55984,SPECIES,COUNTRY,MG,18813,CITES_EU
55986,SPECIES,COUNTRY,MG,18813,CITES_EU
55987,SPECIES,COUNTRY,MG,18813,CITES_EU
55989,SPECIES,COUNTRY,MG,18813,CITES_EU
55991,SPECIES,COUNTRY,MG,18813,CITES_EU
55992,SPECIES,COUNTRY,MG,18813,CITES_EU
55993,SPECIES,COUNTRY,MG,18813,CITES_EU
55994,SPECIES,COUNTRY,MG,18813,CITES_EU
55995,SPECIES,COUNTRY,MG,18813,CITES_EU
55997,SPECIES,COUNTRY,MG,18813,CITES_EU
55998,SPECIES,COUNTRY,MG,18813,CITES_EU
55999,SPECIES,COUNTRY,MG,18813,CITES_EU
56000,SPECIES,COUNTRY,MG,18813,CITES_EU
56002,SPECIES,TERRITORY,RE,18813,CITES_EU
56002,SPECIES,COUNTRY,MG,18813,CITES_EU
56003,SPECIES,COUNTRY,MG,18813,CITES_EU
56016,SPECIES,COUNTRY,BR,18813,CITES_EU
56016,SPECIES,COUNTRY,CO,18813,CITES_EU
56016,SPECIES,COUNTRY,VE,18813,CITES_EU
56016,SPECIES,COUNTRY,BO,18813,CITES_EU
56017,SPECIES,COUNTRY,VE,18813,CITES_EU
56017,SPECIES,COUNTRY,GY,18813,CITES_EU
56017,SPECIES,COUNTRY,SR,18813,CITES_EU
56017,SPECIES,COUNTRY,CO,18813,CITES_EU
56017,SPECIES,COUNTRY,PE,18813,CITES_EU
56017,SPECIES,COUNTRY,BR,18813,CITES_EU
56018,SPECIES,COUNTRY,SR,18813,CITES_EU
56018,SPECIES,COUNTRY,BR,18813,CITES_EU
56018,SPECIES,COUNTRY,TT,18813,CITES_EU
56018,SPECIES,COUNTRY,PE,18813,CITES_EU
56018,SPECIES,COUNTRY,VE,18813,CITES_EU
56018,SPECIES,TERRITORY,GF,18813,CITES_EU
56018,SPECIES,COUNTRY,CO,18813,CITES_EU
56018,SPECIES,COUNTRY,GY,18813,CITES_EU
97431,SPECIES,COUNTRY,PG,18813,CITES_EU
97916,SPECIES,COUNTRY,VU,18813,CITES_EU
56026,SPECIES,COUNTRY,PH,18813,CITES_EU
56082,SPECIES,COUNTRY,PE,18813,CITES_EU
56082,SPECIES,COUNTRY,CO,18813,CITES_EU
56082,SPECIES,COUNTRY,BO,18813,CITES_EU
56082,SPECIES,COUNTRY,VE,18813,CITES_EU
56082,SPECIES,COUNTRY,EC,18813,CITES_EU
56097,SPECIES,COUNTRY,PH,18813,CITES_EU
56114,SPECIES,COUNTRY,EC,18813,CITES_EU
56114,SPECIES,COUNTRY,CO,18813,CITES_EU
56114,SPECIES,COUNTRY,BO,18813,CITES_EU
56114,SPECIES,COUNTRY,PE,18813,CITES_EU
56114,SPECIES,COUNTRY,VE,18813,CITES_EU
56115,SPECIES,COUNTRY,BR,18813,CITES_EU
97083,SPECIES,COUNTRY,VE,18813,CITES_EU
56117,SPECIES,COUNTRY,CO,18813,CITES_EU
56117,SPECIES,COUNTRY,VE,18813,CITES_EU
56117,SPECIES,COUNTRY,PE,18813,CITES_EU
56117,SPECIES,COUNTRY,BO,18813,CITES_EU
56118,SPECIES,COUNTRY,BR,18813,CITES_EU
56119,SPECIES,COUNTRY,BR,18813,CITES_EU
98177,SPECIES,COUNTRY,BR,18813,CITES_EU
56120,SPECIES,COUNTRY,BR,18813,CITES_EU
97076,SPECIES,COUNTRY,VE,18813,CITES_EU
56121,SPECIES,COUNTRY,EC,18813,CITES_EU
56122,SPECIES,COUNTRY,BR,18813,CITES_EU
56122,SPECIES,COUNTRY,PE,18813,CITES_EU
56122,SPECIES,COUNTRY,BO,18813,CITES_EU
56122,SPECIES,COUNTRY,CO,18813,CITES_EU
56122,SPECIES,COUNTRY,EC,18813,CITES_EU
56123,SPECIES,COUNTRY,EC,18813,CITES_EU
56127,SPECIES,COUNTRY,UG,18813,CITES_EU
56127,SPECIES,COUNTRY,SL,18813,CITES_EU
56127,SPECIES,COUNTRY,CG,18813,CITES_EU
56127,SPECIES,COUNTRY,CM,18813,CITES_EU
56127,SPECIES,COUNTRY,CF,18813,CITES_EU
56127,SPECIES,COUNTRY,NG,18813,CITES_EU
56127,SPECIES,COUNTRY,LR,18813,CITES_EU
56127,SPECIES,COUNTRY,GN,18813,CITES_EU
56127,SPECIES,COUNTRY,GQ,18813,CITES_EU
56127,SPECIES,COUNTRY,CI,18813,CITES_EU
