ComName,LangShort,RecId,Rank,Designation,ReferenceID,
Fil,AZE,12392,species,"CITES,EU",
Slon,BEL,12392,species,"CITES,EU",
Foli,BEN,14877,species,EU,7295
Ship,BUL,225,species,"CITES,EU",7295
Chiga,BUL,227,species,"CITES,EU",
Pastruga,BUL,229,species,"CITES,EU",7295
Atlantichka esetra,BUL,230,species,"CITES,EU",7295
Nemska essetra,BUL,230,species,"CITES,EU",
Ruska esetra,BUL,232,species,"CITES,EU",
Byal amur,BUL,5834,species,EU,
Moruna,BUL,10269,species,"CITES,EU",7295
Byal tolstolob,BUL,10723,species,EU,
Slon,BUL,12392,species,"CITES,EU",
Gorchivka,BUL,19671,species,EU,7295
Zmiorca,BUL,30324,species,"CITES,EU",
Zmiorka,BUL,30324,species,"CITES,EU",
Akula,BUL,41470,species,CMS,
Chernomorska akula,BUL,41470,species,CMS,7295
Kuceska akula,BUL,41470,species,CMS,7295
Morsko kuce,BUL,41470,species,CMS,7295
Esturió,CAT,230,species,"CITES,EU",7295
Tauró blanc,CAT,3855,species,"CITES,EU",7295
Cavall de mar,CAT,10070,species,"CITES,EU",7295
Marraix,CAT,11200,species,"CITES,EU",7295
Elefante,CAT,12392,species,"CITES,EU",
Solraig,CAT,29850,species,CMS,
Anguila,CAT,30324,species,"CITES,EU",7295
Agullat,CAT,41470,species,CMS,
Bakwak,CEB,87,species,EU,7295
Mungit,CEB,87,species,EU,7295
Sovahan,CEB,87,species,EU,7295
Sipul-sipul,CEB,546,species,EU,7295
Bugok,CEB,1206,species,EU,7295
Labayan,CEB,1206,species,EU,
Bagondon,CEB,1214,species,EU,7295
Bugok,CEB,1214,species,EU,7295
Labayan,CEB,1214,species,EU,
Sipul-sipul,CEB,4111,species,EU,7295
Alibang-bang,CEB,4344,species,EU,7295
Alibang-bang,CEB,4345,species,EU,7295
Alibang-bang,CEB,4346,species,EU,7295
Alibang-bang,CEB,4349,species,EU,7295
Alibang-bang,CEB,4350,species,EU,7295
Alibang-bang,CEB,4351,species,EU,7295
Alibang-bang,CEB,4352,species,EU,7295
Boray-boray,CEB,4352,species,EU,7295
Alibang-bang,CEB,4354,species,EU,7295
Alibang-bang,CEB,4355,species,EU,7295
Alibang-bang,CEB,4357,species,EU,7295
Alibang-bang,CEB,4358,species,EU,7295
Paru-parung dagat,CEB,4358,species,EU,7295
Alibangbang,CEB,4365,species,EU,7295
Boray-boray,CEB,4365,species,EU,7295
Alibang-bang,CEB,9939,species,EU,7295
Boray-boray,CEB,9939,species,EU,7295
Battu,CEB,14877,species,EU,7295
But,CEB,14877,species,EU,7295
Moh,CEB,14877,species,EU,7295
Payi,CEB,14877,species,EU,7295
Purri,CEB,14877,species,EU,7295
Alibang-bang,CEB,16036,species,EU,7295
Taghan,CEB,18174,species,"CITES,EU",7295
Solay-bagyo,CEB,18604,species,EU,7295
Tawiki,CEB,19488,species,"CITES,EU",7295
Tuki-tuki,CEB,19488,species,"CITES,EU",7295
Labayan,CEB,20833,species,EU,7295
Mulmul,CEB,20833,species,EU,7295
Solay-baguio,CEB,22204,species,EU,
Krahujec krátkoprstý,CES,92,species,"CITES,EU",
Krahujec obecný,CES,119,species,"CITES,EU",
Jeseter hladky,CES,225,species,"CITES,EU",7295
Jeseter maly,CES,227,species,"CITES,EU",7295
Jeseter malý,CES,227,species,"CITES,EU",
Jester hvezdnaty,CES,229,species,"CITES,EU",7295
Jeseter valky,CES,230,species,"CITES,EU",7295
Jeseter velky,CES,230,species,"CITES,EU",7295
Jeseter velký,CES,230,species,"CITES,EU",
Rákosník plavý,CES,289,species,CMS,
Rákosník velký,CES,290,species,"EU,CMS",
Rákosník tamaryškový,CES,293,species,"EU,CMS",
Rákosník obecný,CES,298,species,"EU,CMS",
Sýc rousný,CES,536,species,"CITES,EU",
Alka malá,CES,791,species,"EU,CMS-AEWA",
Alkoun malý,CES,864,species,"EU,CMS-AEWA",
Husice nilská,CES,901,species,"CITES,EU",
Ostralka štíhlá,CES,1219,species,"CITES,EU",
Hvízdák eurasijský,CES,1231,species,"CITES,EU",
Kachna divoká,CES,1232,species,"EU,CMS",
Husa velká,CES,1573,species,"EU,CMS",
Husa malá,CES,1575,species,"EU,CMS",
Husa polní,CES,1576,species,"EU,CMS",
Husa krátkozobá,CES,1578,species,CMS,
Linduška kanárská,CES,1652,species,EU,
Linduška úhorní,CES,1653,species,EU,
Linduška rudokrká,CES,1654,species,EU,
Linduška zelená,CES,1658,species,EU,
Linduška skalní,CES,1660,species,EU,
Linduška lesní,CES,1666,species,EU,
Rorýs obecný,CES,1942,species,EU,
Rorýs kaferský,CES,1944,species,EU,
Orel skalní,CES,1953,species,"CITES,EU",
Orel volavý,CES,1954,species,"CITES,EU",
Orel královský,CES,1956,species,"CITES,EU",
Orel stepní,CES,1957,species,"CITES,EU",
Volavka popelavá,CES,2073,species,"EU,CMS-AEWA",
Volavka vlasatá,CES,2083,species,"EU,CMS-AEWA",
Kalous pustovka,CES,2167,species,"CITES,EU",
Kalous ušatý,CES,2169,species,"CITES,EU",
Polák velký,CES,2453,species,"EU,CMS",
Polák kaholka,CES,2456,species,"EU,CMS",
Polák malý,CES,2457,species,"CITES,EU",
Netopýr cerný,CES,2553,species,CMS,
Zubr,CES,2814,species,EU,
Brkoslav severní,CES,2871,species,EU,
Berneška tmavá,CES,3056,species,"EU,CMS",
Berneška velká,CES,3057,species,"CITES,EU",
Výr velký,CES,3133,species,"CITES,EU",
Volavka rusohlavá,CES,3145,species,"CITES,EU",
Hohol severní,CES,3148,species,"EU,CMS",
Hohol islandský,CES,3149,species,CMS,
Dytík úhorní,CES,3336,species,"EU,CMS",
Strnad severní,CES,3518,species,EU,
Jespák obecný,CES,3526,species,"EU,CMS",
Jespák rezavý,CES,3528,species,"EU,CMS",
Jespák skvrnitý,CES,3533,species,"EU,CMS",
Jespák malý,CES,3534,species,"EU,CMS",
Jespák šedý,CES,3540,species,CMS,
Veverka Pallasova,CES,3595,species,EU,
Šakal obecný,CES,3744,species,"CITES,EU",
Vlk,CES,3746,species,"CITES,EU",
Lelek lesní,CES,3820,species,EU,
Lelek rudokrký,CES,3824,species,EU,
Konopka obecná,CES,3860,species,EU,
Stehlík obecný,CES,3861,species,EU,
Zvonek zelený,CES,3862,species,EU,
Hýl rudý,CES,3909,species,EU,
Bobr kanadský,CES,4003,species,EU,
Bobr evropský,CES,4007,species,CITES,
Alkoun obecný,CES,4163,species,"EU,CMS-AEWA",
Šoupálek krátkoprstý,CES,4252,species,EU,
Šoupálek dlouhoprstý,CES,4253,species,EU,
Kulík kaspický,CES,4533,species,CMS,
Kulík pouštní,CES,4536,species,CMS,
Rybák bahenní,CES,4706,species,"EU,CMS-AEWA",
Skorec vodní,CES,4887,species,EU,
Orlík krátkoprstý,CES,4896,species,"CITES,EU",
Moták pochop,CES,4898,species,"CITES,EU",
Moták pilich,CES,4903,species,"CITES,EU",
Moták stepní,CES,4904,species,"CITES,EU",
Hoholka lední,CES,4954,species,"EU,CMS",
Dlask tlustozobý,CES,5041,species,EU,
Holub skalní,CES,5191,species,"CITES,EU",
Holub dlouhoprstý,CES,5201,species,EU,
Mandelík hajní,CES,5290,species,"EU,CMS",
Amur bily,CES,5834,species,EU,7295
Strakapoud velký,CES,6391,species,EU,
Strakapoud malý,CES,6393,species,EU,
Plch zahradní,CES,7618,species,CITES,
Strnad obojkový,CES,7675,species,CMS,
Strnad šedokrký,CES,7677,species,EU,
Strnad obecný,CES,7682,species,EU,
Strnad zahradní,CES,7683,species,EU,
Strnad malinký,CES,7687,species,EU,
Strnad rákosní,CES,7689,species,EU,
Astrild vlnkovaný,CES,8100,species,"CITES,EU",
Raroh velký,CES,8449,species,"CITES,EU",
Raroh lovecký,CES,8472,species,"CITES,EU",
Poštolka obecná,CES,8477,species,"CITES,EU",
Poštolka rudonohá,CES,8478,species,"CITES,EU",
Lejsek malý,CES,8562,species,CMS,
Papuchalk ploskozobý,CES,8684,species,"EU,CMS-AEWA",
Chocholouš obecný,CES,8828,species,EU,
Bekasina otavní,CES,8853,species,"EU,CMS",
Slípka zelenonohá,CES,8860,species,CMS-AEWA,
Potáplice severní,CES,8959,species,"EU,CMS",
Potáplice lední,CES,8960,species,"EU,CMS",
Potáplice malá,CES,8962,species,"EU,CMS",
Potáplice malá,CES,8962,species,"EU,CMS",6234
Ouhorlík stepní,CES,9204,species,"EU,CMS",
Kulíšek nejmenší,CES,9223,species,"CITES,EU",
Orlosup bradatý,CES,9582,species,"CITES,EU",
Orel nejmenší,CES,10039,species,"CITES,EU",
Sedmihlásek hajní,CES,10099,species,CMS,
Sedmihlásek olivní,CES,10100,species,CMS,
Vlaštovka obecná,CES,10197,species,EU,
Vyza,CES,10269,species,"CITES,EU",7295
Vyza velka,CES,10269,species,"CITES,EU",7295
Dikobraz obecný,CES,10746,species,"CITES,EU",
Krutihlav obecný,CES,10948,species,EU,
Racek tenkozobý,CES,11318,species,"EU,CMS",
Racek polární,CES,11319,species,"EU,CMS-AEWA",
Racek šedý,CES,11320,species,"EU,CMS-AEWA",
Racek velký,CES,11321,species,CMS,
Racek malý,CES,11325,species,"EU,CMS-AEWA",
Racek chechtavý,CES,11329,species,CMS-AEWA,
Racek arménský,CES,11335,species,CMS,
Slunecnice pestra,CES,11626,species,EU,
Zajíc africký,CES,11789,species,EU,
Slon,CES,12392,species,"CITES,EU",
Slavík kaliopa,CES,12408,species,CMS,
Slavík tmavý,CES,12409,species,CMS,
Slavík obecný,CES,12410,species,CMS,
Rys ostrovid,CES,12519,species,"CITES,EU",
Rys pardálový,CES,12520,species,"CITES,EU",
Magot,CES,12561,species,"CITES,EU",
Klokan rudokrký,CES,12630,species,EU,
Kuna lesní,CES,12848,species,EU,
Vlha pestrá,CES,13176,species,"EU,CMS",
Skalník modrý,CES,13733,species,CMS,
Terej bílý,CES,13892,species,"EU,CMS-AEWA",
Konipas bílý,CES,13905,species,EU,
Konipas horský,CES,13906,species,EU,
Lejsek šedý,CES,13995,species,CMS,
Plch hrabavý,CES,14087,species,EU,
Netopýr východní,CES,14124,species,CMS,
Netopýr dlouhonohý,CES,14126,species,CMS,
Netopýr brvitý,CES,14129,species,CMS,
Netopýr velký,CES,14133,species,CMS,
Netopýr vousatý,CES,14134,species,CMS,
Zrzohlávka rudozobá,CES,14731,species,"EU,CMS",
Koliha velká,CES,14911,species,"EU,CMS",
Koliha malá,CES,14914,species,CMS,
Koliha velká,CES,14916,species,"CITES,EU",
Netopýr obrovský,CES,14918,species,CMS,
Netopýr stromový,CES,14919,species,CMS,
Netopýr rezavý,CES,14920,species,CMS,
Ondatra,CES,15324,species,EU,
Drop velký,CES,15639,species,"CITES,EU",
Muflon,CES,15733,species,"CITES,EU",
Sýkora temná,CES,16382,species,EU,
Sýkora babka,CES,16386,species,EU,
Vrabec domácí,CES,16412,species,"CITES,EU",
Vrabec polní,CES,16415,species,EU,
Pelikán bílý,CES,16490,species,CMS,
Vrabec skalní,CES,16783,species,EU,
Kormorán chocholatý,CES,16825,species,EU,
Kormorán velký,CES,16826,species,"EU,CMS-AEWA",
Kormorán malý,CES,16831,species,"EU,CMS",
Lyskonoh úzkozobý,CES,16864,species,"EU,CMS",
Jespák bojovný,CES,16994,species,"EU,CMS",
Rehek domácí,CES,17049,species,CMS,
Rehek zahradní,CES,17050,species,CMS,
Netopýr jizní,CES,17314,species,CMS,
Netopýr makaronéský,CES,17315,species,"CITES,EU",
Netopýr parkový,CES,17316,species,CMS,
Netopýr hvízdavý,CES,17317,species,CMS,
Kolpík bílý,CES,17484,species,"CITES,EU",
Netopýr ušatý,CES,17596,species,CMS,
Netopýr dlouhouchý,CES,17597,species,CMS,
Kulík zlatý,CES,17755,species,CMS,
Kulík bledý,CES,17758,species,"EU,CMS",
Potápka rudokrká,CES,17809,species,"EU,CMS",
Slípka modrá,CES,18071,species,"CITES,EU",
Mýval severní,CES,18266,species,EU,
Aleksandr malý,CES,18624,species,"CITES,EU",
Stepokur krásný,CES,18660,species,EU,
Hýl obecný,CES,18997,species,EU,
Vrápenec velký,CES,19517,species,"CITES,CMS",
Vrápenec malý,CES,19518,species,"CITES,CMS",
Horavka duhova,CES,19671,species,EU,7295
Horavka duhová,CES,19671,species,EU,
Kamzík horský,CES,19767,species,"CITES,EU",
Sluka lesní,CES,20040,species,"EU,CMS",
Kanár divoký,CES,20144,species,"CITES,EU",
Zvonohlík citrónový,CES,20146,species,EU,
Zvonohlík zahradní,CES,20151,species,EU,
Brhlík lesní,CES,20273,species,EU,
Brhlík turecký,CES,20275,species,EU,
Brhlík skalní,CES,20278,species,EU,
Brhlík korsický,CES,20281,species,EU,
Kajka královská,CES,20338,species,"EU,CMS",
Chaluha malá,CES,20792,species,"EU,CMS-AEWA",
Rybák malý,CES,20797,species,CMS,
Rybák bengálský,CES,20801,species,CMS,
Rybák velkozobý,CES,20803,species,"EU,CMS",
Rybák rajský,CES,20804,species,"EU,CMS",
Rybák obecný,CES,20808,species,"EU,CMS",
Rybák dlouhoocasý,CES,20811,species,"EU,CMS",
Rybák severní,CES,20812,species,"EU,CMS",
Puštík obecný,CES,20895,species,"CITES,EU",
Puštík vousatý,CES,20902,species,"CITES,EU",
Sovice krahujová,CES,21169,species,"CITES,EU",
Potápka malá,CES,21279,species,"EU,CMS-AEWA",
Tadarida evropská,CES,21311,species,CMS,
Husice rezavá,CES,21321,species,"EU,CMS",
Modruška lesní,CES,21485,species,CMS,
Velekur kaspický,CES,21673,species,"CITES,EU",
Drop malý,CES,21677,species,"CITES,EU",
