ComName,LangShort,RecId,Rank,Designation,ReferenceID
Aoudad de Barbarie,FRA,12100,SPECIES,CMS,
Carnero de Berbería,SPA,12100,SPECIES,CMS,
Wild Yak,ENG,11979,SPECIES,CMS,
Grey Ox,ENG,12088,SPECIES,CMS,
Boeuf gris Cambodgien,FRA,12088,SPECIES,CMS,
Gazelle edmi,FRA,11971,SPECIES,CMS,
Gacela Idmi,SPA,11971,SPECIES,CMS,
Gazella à Cornes Grêles,FRA,11299,SPECIES,CMS,
Gacela de Astas Delgadas,SPA,11299,SPECIES,CMS,
Gacela de bocio,SPA,11322,SPECIES,CMS,
Gacela Dama,SPA,11426,SPECIES,CMS,
Orix de Cuernos de Cimitarra,SPA,11700,SPECIES,CMS,
Wild Sheep,ENG,11421,SPECIES,CMS,
White-tailed gazelle,ENG,11951,SPECIES,CMS,
Gazelle de Mongolie,FRA,11951,SPECIES,CMS,
Gacela de Mongolia,SPA,11951,SPECIES,CMS,
Steppe Saiga,ENG,11967,SPECIES,CMS,
Bactrian Camel,ENG,12106,SPECIES,CMS,
Wild Camel,ENG,12106,SPECIES,CMS,
Guemal,ENG,12006,SPECIES,CMS,
Hippocamelus,FRA,12006,SPECIES,CMS,
Huemul Patagónico,SPA,12006,SPECIES,CMS,
Girafe,FRA,94467,SPECIES,CMS,
Jirafa,SPA,94467,SPECIES,CMS,
Cape Hunting Dog,ENG,12151,SPECIES,CMS,
Painted Hunting Dog,ENG,12151,SPECIES,CMS,
Cynhyène,FRA,12151,SPECIES,CMS,
Lycaon,FRA,12151,SPECIES,CMS,
Licaon,SPA,12151,SPECIES,CMS,
Pallas' Cat,ENG,103281,SPECIES,CMS,
Panther,ENG,94458,SPECIES,CMS,
Panthère,FRA,94458,SPECIES,CMS,
Pantera,SPA,94458,SPECIES,CMS,
Southern Marine Otter,ENG,11594,SPECIES,CMS,
Chinchimen,SPA,11594,SPECIES,CMS,
Gato de mar,SPA,11594,SPECIES,CMS,
Gato marino,SPA,11594,SPECIES,CMS,
Huallaque,SPA,11594,SPECIES,CMS,
Nutria de Magallanes,SPA,11594,SPECIES,CMS,
Lobito de río patagénico,SPA,11536,SPECIES,CMS,
Lobito patagonico,SPA,11536,SPECIES,CMS,
Nutria de Chile,SPA,11536,SPECIES,CMS,
Otarie d'Amérique du Sud,FRA,11745,SPECIES,CMS,
Lobo de dos pelos,SPA,11745,SPECIES,CMS,
Lobo fino austral,SPA,11745,SPECIES,CMS,
Lobo marino,SPA,11745,SPECIES,CMS,
Lobo marino peletero sudamericano,SPA,11745,SPECIES,CMS,
Oso marino,SPA,11745,SPECIES,CMS,
Southern Sea Lion,ENG,103324,SPECIES,CMS,
León marino austral,SPA,103324,SPECIES,CMS,
Lobo marino de un pelo,SPA,103324,SPECIES,CMS,
Atlantic seal,ENG,103326,SUBSPECIES,CMS,
Phoque commun,FRA,12146,SPECIES,CMS,
Ours polaire,FRA,66522,SPECIES,CMS,
Oso polar,SPA,66522,SPECIES,CMS,
Ballena de Groenlandia,SPA,11646,SPECIES,CMS,
Ballena Franca Austral,SPA,11987,SPECIES,CMS,
North Atlantic Right Whale,ENG,11381,SPECIES,CMS,
Dauphin du Chili,FRA,12056,SPECIES,CMS,
