Id,FullName,RankName,AuthorYear,PhylumName,ClassName,OrderName,FamilyName,CitesAccepted,CurrentListing,GenericAnnotationFullSymbol,CountriesIsoCodes,CountriesFullNames,#AnnotationEnglish,#AnnotationSpanish,#AnnotationFrench,AnnotationEnglish,AnnotationSpanish,AnnotationFrench
3550,Accipiter brevipes,SPECIES,,Chordata,Aves,Falconiformes,Accipitridae,,II, ,"""Al"", ""Am"", ""Az"", ""Bh"", ""Ba"", ""Bg"", ""Cm"", ""Hr"", ""Cy"", ""Cz"", ""Cd"", ""Dj"", ""Eg"", ""Et"", ""Ge"", ""Gr"", ""Hu"", ""Ir"", ""Iq"", ""Il"", ""It"", ""Jo"", ""Kz"", ""Ke"", ""Kw"", ""Lb"", ""Me"", ""Ne"", ""Pl"", ""Md"", ""Ro"", ""Ru"", ""Sa"", ""Cs"", ""Si"", ""Ss"", ""Sd"", ""Sy"", ""Mk"", ""Tn"", ""Tr"", ""Ua"", ""Ae"", ""Tz"", ""Uz"", ""Ye""","""Albania"", ""Armenia"", ""Azerbaijan"", ""Bahrain"", ""Bosnia And Herzegovina"", ""Bulgaria"", ""Cameroon"", ""Croatia"", ""Cyprus"", ""Czech Republic"", ""Democratic Republic Of The Congo"", ""Djibouti"", ""Egypt"", ""Ethiopia"", ""Georgia"", ""Greece"", ""Hungary"", ""Iran (Islamic Republic Of)"", ""Iraq"", ""Israel"", ""Italy"", ""Jordan"", ""Kazakhstan"", ""Kenya"", ""Kuwait"", ""Lebanon"", ""Montenegro"", ""Niger"", ""Poland"", ""Republic Of Moldova"", ""Romania"", ""Russian Federation"", ""Saudi Arabia"", ""Serbia"", ""Slovenia"", ""South Sudan"", ""Sudan"", ""Syrian Arab Republic"", ""The Former Yugoslav Republic Of Macedonia"", ""Tunisia"", ""Turkey"", ""Ukraine"", ""United Arab Emirates"", ""United Republic Of Tanzania"", ""Uzbekistan"", ""Yemen""","","","","","",""
3871,Accipiter butleri,SPECIES,,Chordata,Aves,Falconiformes,Accipitridae,,II, ,"""In""","""India""","","","","","",""
1524,Accipiter castanilius,SPECIES,,Chordata,Aves,Falconiformes,Accipitridae,,II, ,"""Ao"", ""Cm"", ""Cf"", ""Cg"", ""Cd"", ""Gq"", ""Ga"", ""Ng"", ""Ug""","""Angola"", ""Cameroon"", ""Central African Republic"", ""Congo"", ""Democratic Republic Of The Congo"", ""Equatorial Guinea"", ""Gabon"", ""Nigeria"", ""Uganda""","","","","","",""
3375,Accipiter cirrocephalus,SPECIES,,Chordata,Aves,Falconiformes,Accipitridae,,II, ,"""Au"", ""Id"", ""Pg""","""Australia"", ""Indonesia"", ""Papua New Guinea""","","","","","",""
2866,Accipiter collaris,SPECIES,,Chordata,Aves,Falconiformes,Accipitridae,,II, ,"""Co"", ""Ec"", ""Pe"", ""Ve""","""Colombia"", ""Ecuador"", ""Peru"", ""Venezuela (Bolivarian Republic Of)""","","","","","",""
2444,Accipiter cooperii,SPECIES,,Chordata,Aves,Falconiformes,Accipitridae,,"", ,"""Bz"", ""Bm"", ""Ca"", ""Co"", ""Cr"", ""Sv"", ""Gt"", ""Hn"", ""Mx"", ""Ni"", ""Us""","""Belize"", ""Bermuda"", ""Canada"", ""Colombia"", ""Costa Rica"", ""El Salvador"", ""Guatemala"", ""Honduras"", ""Mexico"", ""Nicaragua"", ""United States Of America""","","","","","",""
2336,Accipiter erythrauchen,SPECIES,,Chordata,Aves,Falconiformes,Accipitridae,,II, ,"""Id""","""Indonesia""","","","","","",""
2653,Accipiter erythropus,SPECIES,,Chordata,Aves,Falconiformes,Accipitridae,,II, ,"""Ao"", ""Bj"", ""Bf"", ""Cm"", ""Cf"", ""Cg"", ""Ci"", ""Cd"", ""Ga"", ""Gm"", ""Gh"", ""Gn"", ""Gw"", ""Lr"", ""Ng"", ""Sn"", ""Sl"", ""Tg"", ""Ug""","""Angola"", ""Benin"", ""Burkina Faso"", ""Cameroon"", ""Central African Republic"", ""Congo"", ""Cote D'Ivoire"", ""Democratic Republic Of The Congo"", ""Gabon"", ""Gambia"", ""Ghana"", ""Guinea"", ""Guinea Bissau"", ""Liberia"", ""Nigeria"", ""Senegal"", ""Sierra Leone"", ""Togo"", ""Uganda""","","","","","",""
2650,Accipiter fasciatus,SPECIES,,Chordata,Aves,Falconiformes,Accipitridae,,II, ,"""Au"", ""Cx"", ""Id"", ""Nc"", ""Nf"", ""Pg"", ""Sb"", ""Tl"", ""Vu""","""Australia"", ""Christmas Island"", ""Indonesia"", ""New Caledonia"", ""Norfolk Island"", ""Papua New Guinea"", ""Solomon Islands"", ""Timor-Leste"", ""Vanuatu""","","","","","",""
9935,Accipiter fasciatus spilogaster,SUBSPECIES,,Chordata,Aves,Falconiformes,Accipitridae,false,II, ,"","","","","","","",""
2810,Accipiter francesii,SPECIES,,Chordata,Aves,Falconiformes,Accipitridae,,II, ,"""Km"", ""Mg"", ""Yt""","""Comoros"", ""Madagascar"", ""Mayotte""","","","","","",""
