Year,Manual ID,Title,Language,Master Document ID,Volume,Type,General/ Part,PDF filename
2001,CITES Identification Guide Sturgeons and Paddlefish_TR.pdf,CITES Tanimlama Kilavuzu: Mersin Baliklari,TR,CITES Identification Guide Sturgeons and Paddlefish_EN.pdf,,Virtual College,General,CITES Identification Guide Sturgeons and Paddlefish_TR.pdf
1999,CITES Identification Guide Turtles and Tortoises_EN.pdf,CITES Identification Guide: Turtles and Tortoises,EN,,,Virtual College,General,CITES Identification Guide Turtles and Tortoises_EN.pdf
1999,CITES Identification Guide Turtles and Tortoises_FR.pdf,Guide d'identification CITES: Tortues,FR,CITES Identification Guide Turtles and Tortoises_EN.pdf,,Virtual College,General,CITES Identification Guide Turtles and Tortoises_FR.pdf
1999,CITES Identification Guide Turtles and Tortoises_ES.pdf,Guía de identificación de CITES: Tortugas,ES,CITES Identification Guide Turtles and Tortoises_EN.pdf,,Virtual College,General,CITES Identification Guide Turtles and Tortoises_ES.pdf
1999,CITES Identification Guide Turtles and Tortoises_TR.pdf,CITES Tanimlama Kilavuzu: Kara ve Su Kaplumbagalari,TR,CITES Identification Guide Turtles and Tortoises_EN.pdf,,Virtual College,General,CITES Identification Guide Turtles and Tortoises_TR.pdf
2002,CITES Identification Guide Tropical Woods_EN.pdf,CITES Identification Guide: Tropical Woods,EN,,,Virtual College,Parts and Derivatives,CITES Identification Guide Tropical Woods_EN.pdf
2002,CITES Identification Guide Tropical Woods_FR.pdf,Guide d'identification CITES: Bois tropicaux,FR,CITES Identification Guide Tropical Woods_EN.pdf,,Virtual College,Parts and Derivatives,CITES Identification Guide Tropical Woods_FR.pdf
2002,CITES Identification Guide Tropical Woods_ES.pdf,Guía de identificación de CITES: Maderas tropicales,ES,CITES Identification Guide Tropical Woods_EN.pdf,,Virtual College,Parts and Derivatives,CITES Identification Guide Tropical Woods_ES.pdf
2002,CITES Identification Guide Tropical Woods_TR.pdf,CITES Tanimlama Kilavuzu: Tropik Agaçlar,TR,CITES Identification Guide Tropical Woods_EN.pdf,,Virtual College,Parts and Derivatives,CITES Identification Guide Tropical Woods_TR.pdf
1995,CITES Identification Guide Crocodilians_EN.pdf,CITES Identification Guide: Crocodilians,EN,,,Virtual College,General,CITES Identification Guide Crocodilians_EN.pdf
1995,CITES Identification Guide Crocodilians_FR.pdf,Guide d'identification CITES: Crocodiliens,FR,CITES Identification Guide Crocodilians_EN.pdf,,Virtual College,General,CITES Identification Guide Crocodilians_FR.pdf
1995,CITES Identification Guide Crocodilians_ES.pdf,Guía de identificación de CITES: Cocodrilos,ES,CITES Identification Guide Crocodilians_EN.pdf,,Virtual College,General,CITES Identification Guide Crocodilians_ES.pdf
1995,CITES Identification Guide Crocodilians_TR.pdf,CITES Tanimlama Kilavuzu: Timsahlar,TR,CITES Identification Guide Crocodilians_EN.pdf,,Virtual College,General,CITES Identification Guide Crocodilians_TR.pdf
2003,CITES Identification Guide Hunting Trophies_EN.pdf,CITES Identification Guide: Hunting Trophies,EN,,,Virtual College,Parts and Derivatives,CITES Identification Guide Hunting Trophies_EN.pdf
