SpcRecID,LegListing,LegDateListed,CtyRecID,LegNotes
184677,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
184683,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
184683,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
69686,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
69686,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
34410,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
34410,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
76406,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
76406,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
50399,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
50399,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
50400,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
50400,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
50401,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
50401,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
46173,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
46173,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
31349,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
31349,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
30370,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
30370,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
105553,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
105553,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
63003,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
63003,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
105656,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
105656,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
67715,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
67715,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
62241,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
62241,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
105658,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
105658,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
155343,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
30307,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
30307,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
12870,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
12870,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
155343,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
30303,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
30312,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
30312,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
30302,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
30302,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
30303,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
14500,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
14696,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
14696,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
30315,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
30315,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
14500,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
30313,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
30314,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
30314,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
30311,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
30311,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
30313,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
30309,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
30310,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
30310,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
30308,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
30308,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
30309,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
30304,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
30305,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
30305,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
30301,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
30301,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
30304,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
156415,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
154848,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
154848,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
30306,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
30306,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
156415,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
176689,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
176689,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
172872,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
172872,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
177290,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
177290,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
176686,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
176686,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
172866,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
172866,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
172867,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
172867,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
172870,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
172870,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
172871,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
172871,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
172873,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
172873,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
172874,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
172874,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
172875,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
172875,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
172879,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
172879,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
20858,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
20858,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
75760,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
75760,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
53622,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
53622,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
82719,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
82719,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
82720,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
82720,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
54884,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
54884,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
54885,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
54885,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
67717,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
67717,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
50402,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
50402,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
40126,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
40126,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
67716,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
67716,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
50403,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
50403,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
5115,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
34411,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
34411,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
5115,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
159263,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
158098,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
158098,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
5114,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
5114,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
159263,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
16732,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
176729,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
176729,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
16732,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
82725,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
82726,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
82726,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
176723,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
176723,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
82725,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
12871,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
12871,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
