Kingdom,OrdName,FamName,GenName,SpcName,SpcAuthor,SpcInfraRank,SpcInfraRank,SpcInfraEpithet,SpcInfraRankAuthor,SpcRecID,SpcStatus
Plantae,Cyatheales,CYATHEACEAE,Sphaeropteris,aeneifolia,(Alderw. 1924) R.Tryon 1970,var.,var.,macrophylla,(Holtt.),176661,A
Plantae,CARYOPHYLLALES,CACTACEAE,Opuntia,aequatorialis,Britton & Rose,NULL,NULL,NULL,NULL,107340,A
Plantae,CARYOPHYLLALES,CACTACEAE,Eriosyce,aerocarpa,(Ritter) Kattermann,NULL,NULL,NULL,NULL,11641,A
Plantae,CARYOPHYLLALES,CACTACEAE,Cereus,aethiops,Haworth,NULL,NULL,NULL,NULL,106266,A
Plantae,Cyatheales,CYATHEACEAE,Cyathea,affinis,(G.Forster 1786) O.Swartz 1801,NULL,NULL,NULL,NULL,8420,A
Plantae,GENTIANALES,ASCLEPIADACEAE,Ceropegia,affinis,Vatke,NULL,NULL,NULL,NULL,106040,A
Plantae,GENTIANALES,ASCLEPIADACEAE,Ceropegia,africana,R. Br,ssp.,ssp.,barklyi,Bruyns,110957,A
Plantae,Cyatheales,CYATHEACEAE,Sphaeropteris,agatheti,(Holttum 1962) R.Tryon 1970,NULL,NULL,NULL,NULL,174519,A
Plantae,CARYOPHYLLALES,CACTACEAE,Ariocarpus,agavoides,(Castañeda) Anderson,NULL,NULL,NULL,NULL,27382,A
Plantae,CARYOPHYLLALES,CACTACEAE,Opuntia,aggeria,R.E.Ralston & R.A.Hilsenbeck,NULL,NULL,NULL,NULL,107341,A
Plantae,CARYOPHYLLALES,CACTACEAE,Opuntia,agglomerata,Berger,NULL,NULL,NULL,NULL,29541,A
Plantae,CARYOPHYLLALES,CACTACEAE,Escobaria,aguirreana,(Glass & Foster) Taylor,NULL,NULL,NULL,NULL,75809,A
Plantae,Cyatheales,CYATHEACEAE,Cyathea,akawaiorum,P.J.Edwards 1983,NULL,NULL,NULL,NULL,31655,A
Plantae,CARYOPHYLLALES,CACTACEAE,Parodia,alacriportana,Backeberg & Voll,NULL,NULL,NULL,NULL,107602,A
Plantae,CARYOPHYLLALES,CACTACEAE,Parodia,alacriportana,Backeberg & Voll,ssp.,ssp.,catarinensis,(Ritter) Hofacker & Braun,15690,A
Plantae,CARYOPHYLLALES,CACTACEAE,Parodia,alacriportana,Backeberg & Voll,ssp.,ssp.,alacriportana,NULL,15670,A
Plantae,CARYOPHYLLALES,CACTACEAE,Parodia,alacriportana,Backeberg & Voll,ssp.,ssp.,brevihamata,(W.Haage ex Backeberg) Hofacker & Braun,15676,A
Plantae,CARYOPHYLLALES,CACTACEAE,Parodia,alacriportana,Backeberg & Voll,ssp.,ssp.,buenekeri,(Buining) Hofacker & Braun,15677,A
Plantae,CARYOPHYLLALES,CACTACEAE,Ferocactus,alamosanus,(Britton & Rose) Britton & Rose,NULL,NULL,NULL,NULL,106718,A
Plantae,CARYOPHYLLALES,CACTACEAE,Ferocactus,alamosanus,(Britton & Rose) Britton & Rose,ssp.,ssp.,reppenhagenii,(Unger) Taylor,12610,A
Plantae,CARYOPHYLLALES,CACTACEAE,Ferocactus,alamosanus,(Britton & Rose) Britton & Rose,ssp.,ssp.,alamosanus,NULL,12594,A
Plantae,CARYOPHYLLALES,CACTACEAE,Stenocereus,alamosensis,(J.Coulter) Gibson & Horak,NULL,NULL,NULL,NULL,29747,A
Plantae,CARYOPHYLLALES,CACTACEAE,Pseudorhipsalis,alata,(Swartz) Britton & Rose,NULL,NULL,NULL,NULL,75732,A
Plantae,Cyatheales,CYATHEACEAE,Alsophila,alata,Fourn. 1873,NULL,NULL,NULL,NULL,173102,A
Plantae,Cyatheales,CYATHEACEAE,Cnemidaria,alatissima,Stolze 1974,NULL,NULL,NULL,NULL,176442,A
Plantae,CARYOPHYLLALES,CACTACEAE,Mammillaria,albicans,(Britton & Rose) Berger,NULL,NULL,NULL,NULL,15623,A
Plantae,CARYOPHYLLALES,CACTACEAE,Mammillaria,albicans,(Britton & Rose) Berger,ssp.,ssp.,fraileana,(Britton & Rose) Hunt,13727,A
Plantae,CARYOPHYLLALES,CACTACEAE,Mammillaria,albicans,(Britton & Rose) Berger,ssp.,ssp.,albicans,NULL,13682,A
Plantae,CARYOPHYLLALES,CACTACEAE,Cereus,albicaulis,(Britton & Rose) Luetzlburg,NULL,NULL,NULL,NULL,106267,A
Plantae,CARYOPHYLLALES,CACTACEAE,Micranthocereus,albicephalus,(Buining & Brederoo) Ritter,NULL,NULL,NULL,NULL,107185,A
Plantae,CARYOPHYLLALES,CACTACEAE,Melocactus,albicephalus,Buining & Brederoo,NULL,NULL,NULL,NULL,17618,A
Plantae,CARYOPHYLLALES,CACTACEAE,Browningia,albiceps,Ritter,NULL,NULL,NULL,NULL,106197,A
Plantae,CARYOPHYLLALES,CACTACEAE,Escobaria,albicolumnaria,Hester,NULL,NULL,NULL,NULL,106677,A
Plantae,CARYOPHYLLALES,CACTACEAE,Mammillaria,albicoma,Boedeker,NULL,NULL,NULL,NULL,15624,A
Plantae,Cyatheales,CYATHEACEAE,Alsophila,albida,(Tardieu) 1941) R.Tryon 1970,NULL,NULL,NULL,NULL,173106,A
Plantae,Cyatheales,CYATHEACEAE,Cyathea,albidopaleata,Copel. 1932,NULL,NULL,NULL,NULL,173647,A
Plantae,Cyatheales,CYATHEACEAE,Sphaeropteris,albidosquamata,(Rosenst. 1913) R.Tryon 1970,NULL,NULL,NULL,NULL,174512,A
Plantae,CARYOPHYLLALES,CACTACEAE,Mammillaria,albiflora,(Werdermann) Backeberg,NULL,NULL,NULL,NULL,107131,A
Plantae,CARYOPHYLLALES,CACTACEAE,Arrojadoa,albiflora,Buining & Brederoo,NULL,NULL,NULL,NULL,106153,A
Plantae,CARYOPHYLLALES,CACTACEAE,Rebutia,albiflora,Ritter & Buining,NULL,NULL,NULL,NULL,16204,A
Plantae,Cyatheales,CYATHEACEAE,Sphaeropteris,albifrons,(Vieill. ex Fourn. 1873) R.Tryon 1970,NULL,NULL,NULL,NULL,174515,A
Plantae,CARYOPHYLLALES,CACTACEAE,Mammillaria,albilanata,Backeberg,NULL,NULL,NULL,NULL,15625,A
Plantae,CARYOPHYLLALES,CACTACEAE,Mammillaria,albilanata,Backeberg,ssp.,ssp.,tegelbergiana,(Gates ex Lindsay) Hunt,13930,A
Plantae,CARYOPHYLLALES,CACTACEAE,Mammillaria,albilanata,Backeberg,ssp.,ssp.,albilanata,NULL,13730,A
Plantae,CARYOPHYLLALES,CACTACEAE,Mammillaria,albilanata,Backeberg,ssp.,ssp.,oaxacana,Hunt,13803,A
Plantae,CARYOPHYLLALES,CACTACEAE,Mammillaria,albilanata,Backeberg,ssp.,ssp.,reppenhagenii,(Hunt) Hunt,13908,A
Plantae,CARYOPHYLLALES,CACTACEAE,Opuntia,albisaetacens,Backeberg,NULL,NULL,NULL,NULL,107342,A
Plantae,GENTIANALES,ASCLEPIADACEAE,Ceropegia,albisepta,Jum. & H. Perrier,var.,var.,albisepta,NULL,8612,A
Plantae,GENTIANALES,ASCLEPIADACEAE,Ceropegia,albisepta,Jum. & H. Perrier,var.,var.,bruceana,H. Huber,110959,A
Plantae,GENTIANALES,ASCLEPIADACEAE,Ceropegia,albisepta,Jum. & H. Perrier,var.,var.,robynsiana,(Werdermann) H. Huber,110960,A
Plantae,CARYOPHYLLALES,CACTACEAE,Haageocereus,albispinus,(Akers) Backeberg,NULL,NULL,NULL,NULL,107092,A
Plantae,CARYOPHYLLALES,CACTACEAE,Pilosocereus,albisummus,Braun & Esteves,NULL,NULL,NULL,NULL,107863,A
Plantae,Cyatheales,CYATHEACEAE,Cyathea,albomarginata,R.C. Moran 1991,NULL,NULL,NULL,NULL,75793,A
Plantae,CARYOPHYLLALES,CACTACEAE,Rebutia,albopectinata,Rausch,NULL,NULL,NULL,NULL,107966,A
Plantae,Cyatheales,CYATHEACEAE,Sphaeropteris,albosetacea,(Bedd. 1876) R.Tryon 1970,NULL,NULL,NULL,NULL,68851,A
Plantae,CARYOPHYLLALES,CACTACEAE,Opuntia,alcahes,Weber,NULL,NULL,NULL,NULL,14782,A
Plantae,CARYOPHYLLALES,CACTACEAE,Opuntia,alcerrecensis,Iliff,NULL,NULL,NULL,NULL,17297,A
Plantae,Cyatheales,CYATHEACEAE,Alsophila,alderwereltii,(Copel. 1909) R.Tryon 1970,NULL,NULL,NULL,NULL,173109,A
Plantae,CARYOPHYLLALES,CACTACEAE,Pilosocereus,alensis,(Weber ex Gosselin) Byles & Rowley,NULL,NULL,NULL,NULL,104809,A
Plantae,CARYOPHYLLALES,CACTACEAE,Opuntia,alexanderi,Britton & Rose,NULL,NULL,NULL,NULL,107343,A
Plantae,CARYOPHYLLALES,CACTACEAE,Opuntia,alko-tuna,Cardenas,NULL,NULL,NULL,NULL,107344,A
Plantae,Cyatheales,CYATHEACEAE,Alsophila,alleniae,(Holttum 1962) R.Tryon 1970,NULL,NULL,NULL,NULL,173110,A
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,allenii,Baker,NULL,NULL,NULL,NULL,113154,A
Plantae,CARYOPHYLLALES,CACTACEAE,Parodia,allosiphon,(Marchesi) Taylor,NULL,NULL,NULL,NULL,107603,A
Plantae,CARYOPHYLLALES,CACTACEAE,Turbinicarpus,alonsoi,Glass & Arias,NULL,NULL,NULL,NULL,170705,A
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,alpinus,Sosn.,NULL,NULL,NULL,NULL,47094,A
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,alpinus,Sosn.,var.,var.,alpinus,NULL,170747,A
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,alpinus,Sosn.,var.,var.,bortkewitschianus,(Koss) A.P.Davis,170748,A
Plantae,GENTIANALES,APOCYNACEAE,Hoodia,alstonii,(N.E.Br.) Plowes,NULL,NULL,NULL,NULL,161467,A
Plantae,Cyatheales,CYATHEACEAE,Cyathea,alstonii,R. Tryon,NULL,NULL,NULL,NULL,8034,A
Plantae,Cyatheales,CYATHEACEAE,Alsophila,alta,(Copel. 1936) R.Tryon 1970,NULL,NULL,NULL,NULL,173121,A
Plantae,Cyatheales,CYATHEACEAE,Sphaeropteris,alternans,(Wallich ex Hook. 1844) R.Tryon 1970,NULL,NULL,NULL,NULL,174522,A
Plantae,Cyatheales,CYATHEACEAE,Alsophila,alticola,(Tardieu 1951) R.Tryon 1970,NULL,NULL,NULL,NULL,173123,A
Plantae,CARYOPHYLLALES,CACTACEAE,Browningia,altissima,(Ritter) Buxbaum,NULL,NULL,NULL,NULL,106198,A
Plantae,CARYOPHYLLALES,CACTACEAE,Escobaria,alversonii,(J.Coulter) Taylor,NULL,NULL,NULL,NULL,12553,A
Plantae,CARYOPHYLLALES,CACTACEAE,Mammillaria,amajacensis,Brachet & Lacoste,NULL,NULL,NULL,NULL,13948,A
Plantae,Cyatheales,CYATHEACEAE,Cyathea,amazonica,R.C.Moran,NULL,NULL,NULL,NULL,173331,A
Plantae,CARYOPHYLLALES,CACTACEAE,Disocactus,amazonicus,(Schumann) Hunt,NULL,NULL,NULL,NULL,104090,A
Plantae,CARYOPHYLLALES,CACTACEAE,Gymnocalycium,ambatoense,Piltz,NULL,NULL,NULL,NULL,106934,A
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,ambongense,Poiss.,NULL,NULL,NULL,NULL,8551,A
Plantae,CARYOPHYLLALES,CACTACEAE,Gymnocalycium,amerhauseri,H.Till,NULL,NULL,NULL,NULL,13176,A
Plantae,Cyatheales,CYATHEACEAE,Cyathea,ameristoneura,(Fée 1857) Domin 1929,NULL,NULL,NULL,NULL,173309,A
Plantae,Cyatheales,CYATHEACEAE,Alsophila,amintae,D.S.Conant 1981,NULL,NULL,NULL,NULL,83319,A
Plantae,CARYOPHYLLALES,CACTACEAE,Opuntia,ammophila,Small,NULL,NULL,NULL,NULL,107345,A
Plantae,GENTIANALES,ASCLEPIADACEAE,Ceropegia,ampliata,E. Meyer,ssp.,ssp.,ampliata,NULL,101533,A
