Kingdom,SpcRecID,LegListing,LegDateListed,CtyRecID,LegNotes
Plantae,33332,I/w,01/01/1983 00:00,203,NULL
Plantae,33332,I/r,28/06/1979 00:00,203,NULL
Plantae,25728,I/r,22/10/1987 00:00,43,Reservation applicable only to coastal population of Chile.
Plantae,25728,I/w,01/12/2004 00:00,43,From the Littoral Cordillera of Chile.
Plantae,7997,III/r,15/07/2004 00:00,162,NULL
Plantae,10392,III,16/11/1975 00:00,148,NULL
Plantae,9211,II/w,01/01/1983 00:00,203,NULL
Plantae,9211,II/r,28/06/1979 00:00,203,NULL
Plantae,62078,III/r,24/10/1977 00:00,57,NULL
Plantae,62078,III,23/06/2010 00:00,148,"All parts and derivatives, except: �a) seeds, spores and pollen (including pollinia); �b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;�c) cut flowers of artificially propagated plants; and�d) fruits and parts and derivatives thereof of artificially propagated plants of the genus _Vanilla_."
Plantae,62078,III/w,01/01/1984 00:00,57,NULL
Plantae,62078,III,16/11/1975 00:00,148,NULL
Plantae,62078,III,13/09/2007 00:00,148,"All parts and derivatives, except: �a) seeds, spores and pollen (including pollinia); �b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;�c) cut flowers of artificially propagated plants; and�d) fruits and parts and derivatives thereof of artificially propagated plants of the genus _Vanilla_."
Plantae,32813,III,14/10/2010 00:00,174,"The only parts and derivatives included are logs, sawn wood and veneer sheets."
Plantae,6212,III,01/08/1985 00:00,148,"Designates all parts and derivatives except: �a) seeds, spores and pollen (including pollinia); and �b) tissue cultures and flasked seedling cultures."
Plantae,6212,III/r,24/10/1977 00:00,57,NULL
Plantae,6212,III,16/11/1975 00:00,148,NULL
Plantae,6212,III,13/09/2007 00:00,148,"All parts and derivatives, except: a) seeds, spores and pollen (including pollinia); b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;�c) cut flowers of artificially propagated plants; and�d) fruits and parts and derivatives thereof of artificially propagated plants of the genus Vanilla."
Plantae,6212,III,23/06/2010 00:00,148,"All parts and derivatives, except: �a) seeds, spores and pollen (including pollinia); �b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;�c) cut flowers of artificially propagated plants; and�d) fruits and parts and derivatives thereof of artificially propagated plants of the genus _Vanilla_."
Plantae,6212,III/w,01/01/1984 00:00,57,NULL
Plantae,58874,II/r,16/02/1995 00:00,122,"Designates all parts and derivatives, except: a) seeds and pollen; b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;  c) cut flowers of artificially propagated plants; and d) chemical derivatives and finished pharmaceutical products)."
Plantae,58874,II/r,16/02/1995 00:00,203,"Designates all parts and derivatives, except: a) seeds and pollen; b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;  c) cut flowers of artificially propagated plants; and d) chemical derivatives and finished pharmaceutical products)."
Plantae,49050,I/r,01/08/1985 00:00,14,NULL
Plantae,49050,I/w,06/01/1989 00:00,14,NULL
Plantae,33009,I/r,01/08/1985 00:00,14,NULL
Plantae,33009,I/w,06/01/1989 00:00,14,NULL
Plantae,34350,I/r,01/08/1985 00:00,14,NULL
Plantae,34350,I/w,06/01/1989 00:00,14,NULL
Plantae,32618,I/r,01/08/1985 00:00,14,NULL
Plantae,32618,I/w,06/01/1989 00:00,14,NULL
Plantae,32622,I/r,01/08/1985 00:00,14,NULL
Plantae,32622,I/w,06/01/1989 00:00,14,NULL
Plantae,31646,I/r,01/08/1985 00:00,14,NULL
Plantae,31646,I/w,06/01/1989 00:00,14,NULL
Plantae,30351,I/r,01/08/1985 00:00,14,NULL
Plantae,30351,I/w,06/01/1989 00:00,14,NULL
Plantae,105268,I/r,01/08/1985 00:00,14,NULL
Plantae,105268,I/w,06/01/1989 00:00,14,NULL
Plantae,105269,I/r,01/08/1985 00:00,14,NULL
Plantae,105269,I/w,06/01/1989 00:00,14,NULL
Plantae,10407,I/r,01/08/1985 00:00,14,NULL
Plantae,10407,I/w,06/01/1989 00:00,14,NULL
Plantae,10408,I/r,01/08/1985 00:00,14,NULL
Plantae,10408,I/w,06/01/1989 00:00,14,NULL
Plantae,10411,I/r,01/08/1985 00:00,14,NULL
Plantae,10411,I/w,06/01/1989 00:00,14,NULL
Plantae,10412,I/r,01/08/1985 00:00,14,NULL
Plantae,10412,I/w,06/01/1989 00:00,14,NULL
Plantae,9437,I/r,01/08/1985 00:00,14,NULL
Plantae,9437,I/w,06/01/1989 00:00,14,NULL
Plantae,11760,I/r,01/08/1985 00:00,14,NULL
Plantae,11760,I/w,06/01/1989 00:00,14,NULL
Plantae,10410,I/r,01/08/1985 00:00,14,NULL
Plantae,10410,I/w,06/01/1989 00:00,14,NULL
Plantae,33011,I/r,01/08/1985 00:00,14,NULL
Plantae,33011,I/w,06/01/1989 00:00,14,NULL
Plantae,170013,I/r,01/08/1985 00:00,14,NULL
Plantae,170013,I/w,06/01/1989 00:00,14,NULL
Plantae,8817,III,14/10/2010 00:00,187,The only part included is the kernel and any derivative thereof.
Plantae,105303,II/r,29/07/1983 00:00,14,NULL
Plantae,105303,II/w,06/01/1989 00:00,14,NULL
Plantae,8451,I/r,29/07/1983 00:00,14,NULL
Plantae,8451,I/w,06/01/1989 00:00,14,NULL
Plantae,162304,I/w,06/01/1989 00:00,14,NULL
Plantae,162304,I/r,29/07/1983 00:00,14,NULL
Plantae,8772,I/w,06/01/1989 00:00,14,NULL
Plantae,8772,I/r,29/07/1983 00:00,14,NULL
Plantae,155425,II/w,01/01/1983 00:00,203,NULL
Plantae,155425,II/r,28/06/1979 00:00,203,NULL
Plantae,154770,II/w,01/01/1983 00:00,203,NULL
Plantae,154770,II/r,28/06/1979 00:00,203,NULL
Plantae,155261,II/w,01/01/1983 00:00,203,NULL
Plantae,155261,II/r,28/06/1979 00:00,203,NULL
Plantae,155156,II/w,01/01/1983 00:00,203,NULL
Plantae,155156,II/r,28/06/1979 00:00,203,NULL
Plantae,32810,II/w,01/01/1983 00:00,203,NULL
Plantae,32810,II/r,28/06/1979 00:00,203,NULL
Plantae,9249,II/w,01/01/1983 00:00,203,NULL
Plantae,9249,II/r,28/06/1979 00:00,203,NULL
Plantae,155195,II/w,01/01/1983 00:00,203,NULL
Plantae,155195,II/r,28/06/1979 00:00,203,NULL
Plantae,13456,II/w,01/01/1983 00:00,203,NULL
Plantae,13456,II/r,28/06/1979 00:00,203,NULL
Plantae,13461,II/r,28/06/1979 00:00,203,NULL
Plantae,13461,II/w,01/01/1983 00:00,203,NULL
Plantae,44178,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
Plantae,44178,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
Plantae,50398,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
Plantae,50398,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
Plantae,105654,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
Plantae,105654,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
Plantae,184748,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
Plantae,184748,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
Plantae,184677,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
Plantae,184677,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
Plantae,184683,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
Plantae,184683,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
Plantae,69686,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
Plantae,69686,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
Plantae,34410,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
Plantae,34410,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
Plantae,76406,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
Plantae,76406,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
Plantae,50399,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
