Kingdom,PhyName,ClaName,OrdName,FamName,GenName,SpcName,SpcAuthor,SpcInfraRank,SpcInfraEpithet,SpcInfraRankAuthor,SynonymSpcRecID,SpcStatus,AcceptedSpcRecID
Animalia,CHORDATA,REPTILIA,TESTUDINES,GEOEMYDIDAE,Kachuga,trilineata,"Gray, 1869",NULL,NULL,NULL,79090,S,10952
Animalia,CHORDATA,REPTILIA,TESTUDINES,GEOEMYDIDAE,Kachuga,fusca,"Gray, 1870",NULL,NULL,NULL,79091,S,10949
Animalia,CHORDATA,REPTILIA,TESTUDINES,GEOEMYDIDAE,Kachuga,fusca,"Gray, 1870",NULL,NULL,NULL,79091,S,10952
Animalia,CHORDATA,REPTILIA,TESTUDINES,EMYDIDAE,Emys,muticus,"Cantor, 1842",NULL,NULL,NULL,79092,S,32268
Animalia,CHORDATA,REPTILIA,TESTUDINES,EMYDIDAE,Clemmys,mutica,"(Cantor, 1842)",NULL,NULL,NULL,79093,S,32268
Animalia,CHORDATA,REPTILIA,TESTUDINES,GEOEMYDIDAE,Bellia,borneensis,"(Gray, 1873)",NULL,NULL,NULL,79094,S,15509
Animalia,CHORDATA,REPTILIA,TESTUDINES,EMYDIDAE,Clemmys,gibbera,"Peters, 1874",NULL,NULL,NULL,79095,S,15509
Animalia,CHORDATA,REPTILIA,TESTUDINES,GEOEMYDIDAE,Hardella,baileyi,"Bartlett, 1895",NULL,NULL,NULL,79096,S,15509
Animalia,CHORDATA,REPTILIA,TESTUDINES,GEOEMYDIDAE,Adelochelys,crassa,"Baur, 1896",NULL,NULL,NULL,79097,S,15509
Animalia,CHORDATA,REPTILIA,TESTUDINES,GEOEMYDIDAE,Liemys,inornata,"Boulenger, 1897",NULL,NULL,NULL,79098,S,15509
Animalia,CHORDATA,REPTILIA,TESTUDINES,GEOEMYDIDAE,Cyclemys,mouhotii,"Gray, 1862",NULL,NULL,NULL,79099,S,32270
Animalia,CHORDATA,REPTILIA,TESTUDINES,EMYDIDAE,Emys,crassicollis,"Gray, 1831",NULL,NULL,NULL,79100,S,32272
Animalia,CHORDATA,REPTILIA,TESTUDINES,TRIONYCHIDAE,Trionyx,bibroni,"Owen, 1853",NULL,NULL,NULL,79101,S,16503
Animalia,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Psittaculirostris,diophthalma,"(Hombron & Jacquinot, 1841)",NULL,NULL,NULL,79176,S,6021
Animalia,CHORDATA,AVES,CICONIIFORMES,ARDEIDAE,Casmerodius,albus,"(Linnaeus, 1758)",NULL,NULL,NULL,79184,S,4000
Animalia,CHORDATA,AVES,CICONIIFORMES,ARDEIDAE,Ardea,ibis,"Linnaeus, 1758",NULL,NULL,NULL,79186,S,3145
Animalia,CHORDATA,REPTILIA,SERPENTES,PYTHONIDAE,Python,curtus,"Schlegel, 1872",ssp.,curtus,"Schlegel, 1872",79236,S,19022
Animalia,CHORDATA,REPTILIA,SERPENTES,PYTHONIDAE,Python,curtus,"Schlegel, 1872",ssp.,breitensteini,"Steindachner, 1880",79237,S,74050
